id,p,team
226492,Martin Guptill,1
37737,Brendon McCullum,1
277906,Kane Williamson,1
539511,Henry Nicholls,1
44956,Grant Elliott,1
277662,Corey Anderson,1
7502,Luke Ronchi,1
362541,Doug Bracewell,1
450860,Adam Milne,1
506612,Matt Henry,1
559066,Ish Sodhi,1
215155,Usman Khawaja,2
219889,David Warner,2
267192,Steven Smith,2
4451,George Bailey,2
325026,Glenn Maxwell,2
272450,Mitchell Marsh,2
230193,Matthew Wade,2
228622,John Hastings,2
379504,Adam Zampa,2
288284,Josh Hazlewood,2
446548,Scott Boland,2
