id,p,team
219889,David Warner,1
530011,Travis Head,1
267192,Steven Smith,1
325026,Glenn Maxwell,1
230193,Matthew Wade,1
334337,Peter Handscomb,1
270484,James Faulkner,1
311592,Mitchell Starc,1
489889,Pat Cummins,1
379504,Adam Zampa,1
288284,Josh Hazlewood,1
39037,Azhar Ali,2
227762,Sharjeel Khan,2
348144,Babar Azam,2
41434,Mohammad Hafeez,2
42657,Shoaib Malik,2
317273,Umar Akmal,2
323389,Mohammad Rizwan,2
290948,Mohammad Amir,2
43590,Wahab Riaz,2
681305,Hasan Ali,2
259551,Junaid Khan,2
