id,p,team
34102,Rohit Sharma,1
28235,Shikhar Dhawan,1
253802,Virat Kohli,1
28081,MS Dhoni,1
234675,Ravindra Jadeja,1
277916,Ajinkya Rahane,1
290630,Manish Pandey,1
26421,Ravichandran Ashwin,1
376116,Umesh Yadav,1
326016,Bhuvneshwar Kumar,1
537126,Barinder Sran,1
5334,Aaron Finch,2
219889,David Warner,2
267192,Steven Smith,2
4451,George Bailey,2
325026,Glenn Maxwell,2
272450,Mitchell Marsh,2
270484,James Faulkner,2
230193,Matthew Wade,2
446548,Scott Boland,2
288284,Josh Hazlewood,2
501012,Joel Paris,2
