id,p,team
333066,Johnson Charles,1
51862,Andre Fletcher,1
277472,Darren Bravo,1
52983,Marlon Samuels,1
52917,Denesh Ramdin,1
230559,Kieron Pollard,1
457249,Carlos Brathwaite,1
391485,Jason Holder,1
230558,Sunil Narine,1
51248,Sulieman Benn,1
446101,Shannon Gabriel,1
215155,Usman Khawaja,2
5334,Aaron Finch,2
267192,Steven Smith,2
4451,George Bailey,2
272450,Mitchell Marsh,2
325026,Glenn Maxwell,2
230193,Matthew Wade,2
270484,James Faulkner,2
311592,Mitchell Starc,2
288284,Josh Hazlewood,2
446548,Scott Boland,2
