id,p,team
226492,Martin Guptill,1
7502,Luke Ronchi,1
277906,Kane Williamson,1
38699,Ross Taylor,1
36581,Neil Broom,1
355269,James Neesham,1
277662,Corey Anderson,1
502714,Mitchell Santner,1
450860,Adam Milne,1
232364,Tim Southee,1
277912,Trent Boult,1
219889,David Warner,2
5334,Aaron Finch,2
267192,Steven Smith,2
5961,Moises Henriques,2
325026,Glenn Maxwell,2
530011,Travis Head,2
230193,Matthew Wade,2
228622,John Hastings,2
311592,Mitchell Starc,2
489889,Pat Cummins,2
288284,Josh Hazlewood,2
