id,p,team
326632,Joe Burns,1
5334,Aaron Finch,1
267192,Steven Smith,1
4451,George Bailey,1
325026,Glenn Maxwell,1
272450,Mitchell Marsh,1
230193,Matthew Wade,1
325012,Marcus Stoinis,1
228622,John Hastings,1
489889,Pat Cummins,1
272465,James Pattinson,1
298438,Jason Roy,2
249866,Alex Hales,2
297635,James Taylor,2
24598,Eoin Morgan,2
311158,Ben Stokes,2
297433,Jonny Bairstow,2
8917,Moeen Ali,2
19264,Liam Plunkett,2
308251,David Willey,2
244497,Adil Rashid,2
351588,Mark Wood,2
