id,p,team
5334,Aaron Finch,1
219889,David Warner,1
8180,Shane Watson,1
4578,Michael Clarke,1
267192,Steven Smith,1
325026,Glenn Maxwell,1
272450,Mitchell Marsh,1
5560,Brad Haddin,1
6033,Mitchell Johnson,1
311592,Mitchell Starc,1
489889,Pat Cummins,1
226492,Martin Guptill,2
37737,Brendon McCullum,2
277906,Kane Williamson,2
38699,Ross Taylor,2
44956,Grant Elliott,2
277662,Corey Anderson,2
7502,Luke Ronchi,2
38710,Daniel Vettori,2
450860,Adam Milne,2
232364,Tim Southee,2
277912,Trent Boult,2
