id,p,team
326632,Joe Burns,1
219889,David Warner,1
267192,Steven Smith,1
4451,George Bailey,1
325026,Glenn Maxwell,1
8180,Shane Watson,1
272450,Mitchell Marsh,1
230193,Matthew Wade,1
311592,Mitchell Starc,1
261354,Nathan Coulter-Nile,1
489889,Pat Cummins,1
24611,William Porterfield,2
303427,Paul Stirling,2
24249,Ed Joyce,2
24289,Niall O'Brien,2
303423,Andy Balbirnie,2
24609,Gary Wilson,2
414821,Stuart Thompson,2
24237,John Mooney,2
417381,Andy McBrine,2
17134,Tim Murtagh,2
364343,Craig Young,2
