id,p,team
41434,Mohammad Hafeez,1
227762,Sharjeel Khan,1
348144,Babar Azam,1
316397,Asad Shafiq,1
42657,Shoaib Malik,1
317273,Umar Akmal,1
227758,Imad Wasim,1
323389,Mohammad Rizwan,1
290948,Mohammad Amir,1
681305,Hasan Ali,1
259551,Junaid Khan,1
219889,David Warner,2
215155,Usman Khawaja,2
267192,Steven Smith,2
334337,Peter Handscomb,2
530011,Travis Head,2
325026,Glenn Maxwell,2
230193,Matthew Wade,2
270484,James Faulkner,2
489889,Pat Cummins,2
288284,Josh Hazlewood,2
533042,Billy Stanlake,2
