id,p,team
379143,Quinton de Kock,1
43906,Hashim Amla,1
44828,Faf du Plessis,1
44936,AB de Villiers,1
44932,Jean-Paul Duminy,1
44410,Farhaan Behardien,1
439952,Chris Morris,1
265564,Wayne Parnell,1
550215,Kagiso Rabada,1
46538,Morne Morkel,1
40618,Imran Tahir,1
5334,Aaron Finch,2
215155,Usman Khawaja,2
267192,Steven Smith,2
4451,George Bailey,2
325026,Glenn Maxwell,2
272450,Mitchell Marsh,2
230193,Matthew Wade,2
270484,James Faulkner,2
311592,Mitchell Starc,2
288284,Josh Hazlewood,2
446548,Scott Boland,2
