id,p,team
298438,Jason Roy,1
249866,Alex Hales,1
297635,James Taylor,1
24598,Eoin Morgan,1
311158,Ben Stokes,1
297433,Jonny Bairstow,1
8917,Moeen Ali,1
19264,Liam Plunkett,1
247235,Chris Woakes,1
244497,Adil Rashid,1
210283,Steven Finn,1
326632,Joe Burns,2
5334,Aaron Finch,2
267192,Steven Smith,2
4451,George Bailey,2
325026,Glenn Maxwell,2
272450,Mitchell Marsh,2
230193,Matthew Wade,2
505120,Ashton Agar,2
311592,Mitchell Starc,2
489889,Pat Cummins,2
272465,James Pattinson,2
