id,p,team
259410,Ahmed Shehzad,1
227760,Sarfraz Ahmed,1
318788,Haris Sohail,1
41378,Misbah-ul-Haq,1
317273,Umar Akmal,1
43266,Sohaib Maqsood,1
42639,Shahid Afridi,1
43590,Wahab Riaz,1
547092,Ehsan Adil,1
317252,Sohail Khan,1
323244,Rahat Ali,1
219889,David Warner,2
5334,Aaron Finch,2
267192,Steven Smith,2
4578,Michael Clarke,2
8180,Shane Watson,2
325026,Glenn Maxwell,2
270484,James Faulkner,2
5560,Brad Haddin,2
6033,Mitchell Johnson,2
311592,Mitchell Starc,2
288284,Josh Hazlewood,2
