id,p,team
333066,Johnson Charles,1
51862,Andre Fletcher,1
277472,Darren Bravo,1
52983,Marlon Samuels,1
52917,Denesh Ramdin,1
230559,Kieron Pollard,1
457249,Carlos Brathwaite,1
391485,Jason Holder,1
51248,Sulieman Benn,1
230558,Sunil Narine,1
53191,Jerome Taylor,1
219889,David Warner,2
5334,Aaron Finch,2
215155,Usman Khawaja,2
267192,Steven Smith,2
325026,Glenn Maxwell,2
272450,Mitchell Marsh,2
230193,Matthew Wade,2
311592,Mitchell Starc,2
379504,Adam Zampa,2
288284,Josh Hazlewood,2
272279,Nathan Lyon,2
