id,p,team
34102,Rohit Sharma,1
28235,Shikhar Dhawan,1
253802,Virat Kohli,1
36084,Yuvraj Singh,1
625371,Hardik Pandya,1
28081,MS Dhoni,1
290716,Kedar Jadhav,1
234675,Ravindra Jadeja,1
326016,Bhuvneshwar Kumar,1
376116,Umesh Yadav,1
625383,Jasprit Bumrah,1
39037,Azhar Ali,2
259410,Ahmed Shehzad,2
348144,Babar Azam,2
41434,Mohammad Hafeez,2
42657,Shoaib Malik,2
227760,Sarfraz Ahmed,2
227758,Imad Wasim,2
922943,Shadab Khan,2
290948,Mohammad Amir,2
681305,Hasan Ali,2
43590,Wahab Riaz,2
