id,p,team
24611,William Porterfield,1
303427,Paul Stirling,1
24249,Ed Joyce,1
24289,Niall O'Brien,1
303423,Andy Balbirnie,1
24605,Kevin O'Brien,1
24609,Gary Wilson,1
414821,Stuart Thompson,1
24237,John Mooney,1
348034,George Dockrell,1
293983,Alex Cusack,1
34102,Rohit Sharma,2
28235,Shikhar Dhawan,2
253802,Virat Kohli,2
277916,Ajinkya Rahane,2
33335,Suresh Raina,2
28081,MS Dhoni,2
234675,Ravindra Jadeja,2
26421,Ravichandran Ashwin,2
481896,Mohammed Shami,2
537119,Mohit Sharma,2
376116,Umesh Yadav,2
