id,p,team
379143,Quinton de Kock,1
43906,Hashim Amla,1
44828,Faf du Plessis,1
44936,AB de Villiers,1
321777,David Miller,1
44410,Farhaan Behardien,1
230852,Dean Elgar,1
47492,Dale Steyn,1
550215,Kagiso Rabada,1
40618,Imran Tahir,1
297583,Kyle Abbott,1
34102,Rohit Sharma,2
28235,Shikhar Dhawan,2
253802,Virat Kohli,2
277916,Ajinkya Rahane,2
33335,Suresh Raina,2
28081,MS Dhoni,2
554691,Axar Patel,2
29264,Harbhajan Singh,2
326016,Bhuvneshwar Kumar,2
31107,Amit Mishra,2
537119,Mohit Sharma,2
