id,p,team
34102,Rohit Sharma,1
28235,Shikhar Dhawan,1
253802,Virat Kohli,1
625371,Hardik Pandya,1
422108,Lokesh Rahul,1
290630,Manish Pandey,1
28081,MS Dhoni,1
554691,Axar Patel,1
559235,Kuldeep Yadav,1
625383,Jasprit Bumrah,1
475281,Shardul Thakur,1
429754,Niroshan Dickwella,2
304735,Dilshan Munaweera,2
629074,Kusal Mendis,2
301236,Lahiru Thirimanne,2
49764,Angelo Mathews,2
222354,Milinda Siriwardana,2
784379,Wanindu Hasaranga,2
574178,Akila Dananjaya,2
50205,Malinda Pushpakumara,2
465783,Vishwa Fernando,2
49758,Lasith Malinga,2
