id,p,team
277916,Ajinkya Rahane,1
237095,Murali Vijay,1
35582,Robin Uthappa,1
35565,Manoj Tiwary,1
290630,Manish Pandey,1
290716,Kedar Jadhav,1
27223,Stuart Binny,1
29264,Harbhajan Singh,1
554691,Axar Patel,1
326016,Bhuvneshwar Kumar,1
537119,Mohit Sharma,1
55608,Hamilton Masakadza,2
55354,Chamu Chibhabha,2
293831,Regis Chakabva,2
55343,Elton Chigumbura,2
235516,Richmond Mutumbami,2
299572,Sikandar Raza,2
55872,Malcolm Waller,2
55346,Graeme Cremer,2
55820,Prosper Utseya,2
392945,Donald Tiripano,2
453289,Neville Madziva,2
