id,p,team
5334,Aaron Finch,1
219889,David Warner,1
267192,Steven Smith,1
4451,George Bailey,1
6683,Shaun Marsh,1
272450,Mitchell Marsh,1
230193,Matthew Wade,1
270484,James Faulkner,1
228622,John Hastings,1
446548,Scott Boland,1
272279,Nathan Lyon,1
34102,Rohit Sharma,2
28235,Shikhar Dhawan,2
253802,Virat Kohli,2
290630,Manish Pandey,2
28081,MS Dhoni,2
537124,Gurkeerat Singh Mann,2
234675,Ravindra Jadeja,2
290727,Rishi Dhawan,2
625383,Jasprit Bumrah,2
376116,Umesh Yadav,2
236779,Ishant Sharma,2
