id,p,team
56194,Tamim Iqbal,1
436677,Soumya Sarkar,1
373538,Sabbir Rahman,1
56029,Mushfiqur Rahim,1
56143,Shakib Al Hasan,1
56025,Mahmudullah,1
550133,Mosaddek Hossain,1
56007,Mashrafe Mortaza,1
538506,Taskin Ahmed,1
300619,Rubel Hossain,1
330902,Mustafizur Rahman,1
34102,Rohit Sharma,2
28235,Shikhar Dhawan,2
253802,Virat Kohli,2
36084,Yuvraj Singh,2
28081,MS Dhoni,2
290716,Kedar Jadhav,2
625371,Hardik Pandya,2
234675,Ravindra Jadeja,2
26421,Ravichandran Ashwin,2
326016,Bhuvneshwar Kumar,2
625383,Jasprit Bumrah,2
