id,p,team
277916,Ajinkya Rahane,1
237095,Murali Vijay,1
33141,Ambati Rayudu,1
35565,Manoj Tiwary,1
35582,Robin Uthappa,1
290716,Kedar Jadhav,1
27223,Stuart Binny,1
554691,Axar Patel,1
29264,Harbhajan Singh,1
326016,Bhuvneshwar Kumar,1
277955,Dhawal Kulkarni,1
55787,Vusi Sibanda,2
55354,Chamu Chibhabha,2
55608,Hamilton Masakadza,2
55343,Elton Chigumbura,2
55870,Sean Williams,2
299572,Sikandar Raza,2
235516,Richmond Mutumbami,2
55346,Graeme Cremer,2
392945,Donald Tiripano,2
235514,Brian Vitori,2
55705,Tinashe Panyangara,2
