batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
56194,326016,"slight swing back in, starts around middle and leg, worked away for a single to fine leg",1,0.1,0.01,0.1,1,1,132,31,8
436677,326016,"shape back in again, from around middle and off, and hits the inside half of the bat",1,0.2,0.02,0.2,0,0,137,187,6
436677,326016,"hits the inside half of the bat again, but this time Sarkar has managed to push it wide of mid-on for one",1,0.3,0.03,0.3,1,1,94,266,5
56194,326016,"on a length, on off, holds its line, Tamim gets a stride in and defends",1,0.4,0.04,0.4,0,0,170,197,5
56194,326016,"gives him the charge. It was a matter of when with Tamim facing Bhuvneshwar, and not when. Bhuvneshwar shortens the length this time, and draws an inside edge, but concedes three runs to fine leg",1,0.5,0.05,0.5,3,3,147,23,8
436677,326016,"short of a length, on the pads, turned away to square leg",1,0.6,0.06,0.6,0,0,112,174,6
56194,376116,"Tamim charges Yadav this time, who bowls short and squeezes under the pull of Tamim",1,1.1,1.01,1.1,0,0,0,0,0
56194,376116,"on a length, on off, going with the angle, and left alone",1,1.2,1.02,1.2,0,0,0,0,0
56194,376116,"short of a length, wide, punched away to square third man for one",1,1.3,1.03,1.3,1,1,325,123,2
436677,376116,"slightly short of a length, Sarkar looks to pull, but is beaten. Just swings over the ball",1,1.4,1.04,1.4,0,0,0,0,0
436677,376116,"nicely played. This is a length ball, on off, he pushes at it with an open face but close to his body. Places it wide of cover for two",1,1.5,1.05,1.5,2,2,317,238,3
436677,376116,"fuller, no room, defended back to him",1,1.6,1.06,1.6,0,0,144,247,5
56194,326016,"on a length, on middle and off, defended towards mid-on. Hang on. He has overstepped",1,2.1,2.01,2.1,0,1,137,233,5
56194,326016,"bounces him with the free hit, and it bouncer over the bat as Tamim hooks",1,2.1,2.02,2.1,0,0,0,0,0
56194,326016,"shimmies down, defends a length ball towards cover",1,2.2,2.03,2.2,0,0,238,202,3
56194,326016,"short of a length, tucked away off the hip",1,2.3,2.04,2.3,1,1,90,134,7
436677,326016,"pushed on the up, nicely timed. Kohli's dive to his left, from wide mid-off, gets a hand to it, but the ball still hurtles along to the fence",1,2.4,2.05,2.4,4,4,234,345,4
436677,326016,"short of a length, pitches middle and leg, defended with an open face",1,2.5,2.06,2.5,0,0,243,150,2
436677,326016,"on a length, on the pads, finds square leg with his flick",1,2.6,2.07,2.6,0,0,114,175,6
56194,376116,"short, no sting in it, pulled away from under chest high, but a dive at short fine leg keeps them to on",1,3.1,3.01,3.1,1,1,133,210,6
436677,376116,"on the up and over the top. A length ball, around off, angling away, and he throws his arms through it, lofting it over cover",1,3.2,3.02,3.2,4,4,308,317,4
436677,376116,"on the pads, and clipped away to deep square leg",1,3.3,3.03,3.3,1,1,32,139,7
56194,376116,"looking to leave this alone but makes the decision late, and ends up playing at it with an open face. Yet so easy paced is the pitch that this doesn't trouble him",1,3.4,3.04,3.4,0,0,248,153,2
56194,376116,tucked away off the pad for one,1,3.5,3.05,3.5,1,1,78,182,6
436677,376116,"short of a length, no room, defended from the crease",1,3.6,3.06,3.6,0,0,229,185,3
56194,326016,"on a length, around off, defended off the front foot",1,4.1,4.01,4.1,0,0,161,202,5
56194,326016,"down the wicket, BK bowls short of a length while not giving him any room. Tamim pushes this to mid-off on the run, and charges through to complete the single",1,4.2,4.02,4.2,1,1,216,240,4
436677,326016,"Rayudu, already on the field as a substitute, puts in a dive at the square-leg boundary as Sarkar clips this off the pads. The save is clean and Rayudu is plus two on the fielding score sheet",1,4.3,4.03,4.3,2,2,92,45,8
436677,326016,pushed to mid-off on the up,1,4.4,4.04,4.4,0,0,234,229,4
