batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
34102,56007,"begins in electrifying fashion as he gets the Indian factions going with a divine square drive to this wide, full delivery outside off. Brilliant start for Rohit and India are on the go",1,0.1,0.01,0.1,4,4,10,144,7
34102,56007,"bowls a length delivery, just outside off, which is defended away",1,0.2,0.02,0.2,0,0,116,159,7
34102,56007,length outside off which is just a shade away from the bat as it nipped away on its line to the keeper,1,0.3,0.03,0.3,0,0,0,0,0
34102,56007,"fullish length slanting in from outside off. Rohit presents a dead, straight bat in response",1,0.4,0.04,0.4,0,0,151,189,6
34102,56007,straying down the pads as Rohit tickles this away through fine leg to get this to the rope. Looks like it was leg byes though upon second viewing,1,0.5,0.05,0.5,0,4,232,8,1
34102,56007,once again too straight on middle and leg as this is just nudged away to the leg side,1,0.6,0.06,0.6,0,0,235,190,3
28235,538506,starts with a nervy bouncer on middle which is allowed to fly through to the keeper. Looks as if he had dragged it a touch. Its a big occasion for the young lad,1,1.1,1.01,1.1,0,0,0,0,0
28235,538506,"another bouncer, along a good line which cramps Dhawan for any space",1,1.2,1.02,1.2,0,0,206,197,4
28235,538506,found a wonderful line going across Dhawan on middle and off. This one bowled just back of a length as Shikhar had no space to work with,1,1.3,1.03,1.3,0,0,0,0,0
28235,538506,"reaches out to this back of a length going across, steering this away to the fielder at point",1,1.4,1.04,1.4,0,0,249,151,2
28235,538506,"fullish length delivery, on the pads, which is left unpunished as Dhawan is late on the flick",1,1.5,1.05,1.5,0,0,0,0,0
28235,538506,"overpitched, and in the slot, as Dhawan obliges with a sumptuous cover drive which blitzes away to the extra-cover rope",1,1.6,1.06,1.6,4,4,345,256,3
34102,56007,"too easy for someone of Rohit's considerable talent. Pitched up on middle and pushed straight back with the full face, as this one just gathered momentum along the carpet to find the boundary. Sheer elegance from the right-hander",1,2.1,2.01,2.1,4,4,205,357,4
34102,56007,onto the back foot now as he keeps out this back of a length outside his off peg,1,2.2,2.02,2.2,0,0,145,197,6
34102,56007,"tries to guide this back of a length away off the back foot through cover, but is held by the close-in fielder",1,2.3,2.03,2.3,0,0,105,180,6
34102,56007,"looks to get away a drop single towards the point region, but hits it a bit too well to the fielder",1,2.4,2.04,2.4,0,0,121,192,6
34102,56007,defends this length delivery outside of off towards the bowler,1,2.5,2.05,2.5,0,0,116,195,6
34102,56007,"back of a length, outside of off, which Rohit is drawn into playing, but the extra bounce has him surprised as he opens the face a touch to run this towards the slip fielder on the bounce. Would have been interesting had it been struck firmer to the fielder",1,2.6,2.06,2.6,1,1,122,43,8
34102,538506,"full delivery, angling in on off, which is struck back to the bowler",1,3.1,3.01,3.1,0,0,178,197,5
34102,538506,"picks the vacant space at backward square as he fetches this back of a length outside off, and manupilates it away with a pull towards the square leg boundary. Smart shot with the fielder on offer",1,3.2,3.02,3.2,4,4,324,76,2
34102,538506,gets right on top of this back of a length outside his off stump,1,3.3,3.03,3.3,0,0,113,158,7
34102,538506,"has a go at this full delivery, outside off, with this one straightening on him as he went for the drive",1,3.4,3.04,3.4,0,0,0,0,0
34102,538506,effortless flick to this fuller length off the pads as he picks out the deep fine leg fielder,1,3.5,3.05,3.5,2,2,313,125,2
34102,538506,delivers a sharp bouncer outside of off which is called one for the over,1,3.6,3.06,3.6,0,0,0,0,0
