batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
34102,290948,"ooh, great start from Amir. Tentative from Rohit. Was just propping forward and pushing at the ball on a fifth-stump line, outside off. May have played for the swing - it just went on with the angle and beat his outside edge",1,0.1,0.01,0.1,0,0,0,0,0
34102,290948,"phew, another beauty. This one's even better. This one starts closer to off stump, forces Rohit to play on this occasion, and again, no swing, but lots of bounce, beats the edge with the angle",1,0.2,0.02,0.2,0,0,0,0,0
34102,290948,"length ball, pitches wider outside off, easily left alone",1,0.3,0.03,0.3,0,0,0,0,0
34102,290948,"and again - he's beaten Rohit three times in four balls now. He's yet to put bat on ball. This one's slanted wide again, a bit fuller, inviting the drive. It isn't quite on a driving length, though, and again the  ball misses his outside edge",1,0.4,0.04,0.4,0,0,0,0,0
34102,290948,"back of a length, slanting across towards off stump. Plays slightly outside the line of this one in defence, thick inside edge cannons into thigh pad",1,0.5,0.05,0.5,0,0,197,187,4
34102,290948,"length ball, pitching on off and angling away, left alone",1,0.6,0.06,0.6,0,0,0,0,0
28235,227758,"slants this across, back of a length, no turn back in. Waits on the back foot and dabs it to the left of backward point, who muffs up a fairly straightforward diving stop",1,1.1,1.01,1.1,2,2,307,96,2
28235,227758,fired in fuller and he ends up bowling it down the leg side as Dhawan misses the sweep,1,1.2,1.02,1.2,0,1,0,0,0
28235,227758,"flat and full on off stump, blocked back to the bowler",1,1.2,1.03,1.2,0,0,182,193,4
28235,227758,"length ball with a bit of drift towards off stump, no turn back in. Defended into the on side",1,1.3,1.04,1.3,0,0,137,187,6
28235,227758,"length ball pitching on off and swerving away from the left-hander, punched to cover point",1,1.4,1.05,1.4,0,0,238,192,3
28235,227758,"back of a length now, again goes with the arm rather than swinging in, goes back and across to punch into the covers",1,1.5,1.06,1.5,0,0,196,185,4
28235,227758,"full on leg stump, clipped straight to backward square leg",1,1.6,1.07,1.6,0,0,148,138,7
34102,290948,"length ball on off stump, defended into the covers",1,2.1,2.01,2.1,0,0,138,180,6
34102,290948,"full outside off, leans forward and eases the ball into the extra-cover region",1,2.2,2.02,2.2,2,2,99,223,6
34102,290948,"length ball on middle stump, clipped to midwicket",1,2.3,2.03,2.3,0,0,217,183,3
34102,290948,"fullish on off stump, defended back down the pitch, towards the non-striker",1,2.4,2.04,2.4,0,0,168,191,5
34102,290948,"back of a length close to off stump, defended into the covers",1,2.5,2.05,2.5,0,0,154,191,5
34102,290948,"fuller now, in that off-stump channel, brings him forward to defend into the covers. Rohit's footwork has looked a lot more confident in this over",1,2.6,2.06,2.6,0,0,135,190,6
28235,227758,"fullish on middle and leg, clipped to mid-on",1,3.1,3.01,3.1,1,1,129,291,5
34102,227758,"back of a length outside off, whipped away to long-on",1,3.2,3.02,3.2,1,1,237,289,4
28235,227758,"length ball on middle stump, flicked to midwicket",1,3.3,3.03,3.3,0,0,136,197,6
28235,227758,"back of a length on leg stump, goes deep in his crease to work it through backward square leg",1,3.4,3.04,3.4,1,1,130,192,6
34102,227758,"full on middle and leg, defended to midwicket, shows the full face",1,3.5,3.05,3.5,0,0,200,232,4
