batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
431901,481896,bouncer first ball. Dug in short at a leg stump line and has Lewis avoiding this hurriedly,1,0.1,0.01,0.1,0,0,0,0,0
431901,481896,"short and wide this time, and it's all hands from Lewis. Lifts his front leg slightly as he reaches out and cuts this over point",1,0.2,0.02,0.2,4,4,353,173,3
431901,481896,"good length, leg stump, punched from the crease to mid-on",1,0.3,0.03,0.3,0,0,163,188,5
431901,481896,"draws the outside edge, but it's gone through where fourth slip would have been. No feet again as he tries to drive on the up to a length ball at off stump, Jadhav cleans up at third man",1,0.4,0.04,0.4,1,1,256,44,1
443150,481896,"full at leg stump, pushed to mid-on on the up",1,0.5,0.05,0.5,0,0,196,241,4
443150,481896,"nice line. Just wide of the corridor at a good length, left alone",1,0.6,0.06,0.6,0,0,0,0,0
431901,376116,and he starts with a wide down leg side today as well. This one went with the angle,1,1.1,1.01,1.1,0,1,0,0,0
431901,376116,"good length outside off stump, nips back in after pitching but the off stump is well covered as he lets it go. The ball lands in front of Dhoni who stops with his pads",1,1.1,1.02,1.1,0,0,0,0,0
431901,376116,beats the outside edge. Gets this to straighten from back of a length and has him poke outside off stump,1,1.2,1.03,1.2,0,0,0,0,0
431901,376116,"back of a length, angling in from outside off, left alone",1,1.3,1.04,1.3,0,0,0,0,0
431901,376116,"goes for the full one, but it's misfired. Exercise for Dhoni down the leg side",1,1.4,1.05,1.4,0,1,0,0,0
431901,376116,"floats this outside off stump, bends it in from the wide marker, but it's still too wide for Lewis to hit",1,1.4,1.06,1.4,0,0,0,0,0
431901,376116,"better line, much better. Curves it in towards the corridor this time, hits a good length. Lewis wary of the one that straightens is fending anxiously with a big gap. Inside edge onto pad",1,1.5,1.07,1.5,0,0,214,174,3
431901,376116,shot. Takes a step down the pitch and drives this firmly from outside off stump. Can't meat mid-off to his right,1,1.6,1.08,1.6,0,0,212,236,4
443150,481896,"good length at off stump, solidly defended with a full face",1,2.1,2.01,2.1,0,0,146,224,5
443150,481896,"nice and juicy, short and wide, but he can't time the cut. Chops it into the turf, It dribbles to Jadeja at backward point",1,2.2,2.02,2.2,0,0,141,182,6
443150,481896,"back of a length outside off, slight movement in off the pitch. He pushes at it in front of his body and gets an inside edge onto his mid-riff",1,2.3,2.03,2.3,0,0,169,184,5
443150,481896,"back of a length in the corridor, shuffles across, closes the face too late on the attempted glance. Square leg speeds in to field it",1,2.4,2.04,2.4,0,0,211,194,3
443150,481896,"back of a length in the corridor, punched on the up, but not enough timing to get it past extra cover",1,2.5,2.05,2.5,0,0,137,193,6
443150,481896,"back of a length, corridor, pushed to mid-off on the up and that's a maiden",1,2.6,2.06,2.6,0,0,150,212,5
431901,376116,"back of a length and wide outside off, leans back as he looks to cut this, under-edged into the off side",1,3.1,3.01,3.1,0,0,164,181,5
431901,376116,"good length, swinging in from outside off. Not as much as Lewis expects though. He prods inside the line and is well beaten on the outside edge",1,3.2,3.02,3.2,0,0,0,0,0
431901,376116,"133kph, full and wide outside off stump. Asks him to chase and he does, but he's beaten once again. Wouldn't want to get in a street fight today...",1,3.3,3.03,3.3,0,0,0,0,0
431901,376116,"short ball at the rib cage, defended comfortably",1,3.4,3.04,3.4,0,0,170,195,5
431901,376116,"bangs it in behind a length, up in the corridor, bunted into the off side on the up",1,3.5,3.05,3.5,0,0,236,182,3
431901,376116,"shuffles across now, looks to whip this length ball through the leg side. Inside edge onto the boot",1,3.6,3.06,3.6,0,0,209,187,3
443150,481896,"good length outside off stump, defended off the back foot",1,4.1,4.01,4.1,0,0,133,194,6
443150,481896,"back of a length, angled into the corridor, shuffles to tuck it to square leg",1,4.2,4.02,4.2,0,0,230,185,3
443150,481896,"off the mark, finally. Shami misses his length slightly, and this is short enough for the pull, even with the persistent off stump line. Swung away behind square",1,4.3,4.03,4.3,4,4,351,215,3
443150,481896,"short and wide outside off, skids low and takes the inside edge as he goes for the cut. Dhoni gets low very quickly, to his left, stops the boundary",1,4.4,4.04,4.4,0,0,200,132,1
443150,481896,"good length ball at off stump, poked to mid-off...where Kedar Jadhav runs in and puts in a throw that defies cricketing angles. Mid-on is running in the opposite direction and can't back up with the dive backwards and midwicket is too far away to cut this off",1,4.5,4.05,4.5,5,5,123,196,6
431901,481896,"back of a length at middle stump, defended off the back foot",1,4.6,4.06,4.6,0,0,133,186,6
443150,376116,"swing away from the corridor, good length, left alone",1,5.1,5.01,5.1,0,0,0,0,0
443150,376116,"looks to swing it away from a middle stump line this time, it goes down leg with the angle",1,5.2,5.02,5.2,0,1,0,0,0
443150,376116,"ooooh close to the off stump. Nice length delivery in the channel, and Hope is brave to shoulder arms. Safe in the end",1,5.2,5.03,5.2,0,0,0,0,0
443150,376116,"good length, off stump, pushed on the up to mid-off",1,5.3,5.04,5.3,0,0,148,213,5
443150,376116,"short ball at middle stump, gets on his toes and covers the bounce nicely. Drops it pitchside on the leg side and Lewis calls confidently for the run",1,5.4,5.05,5.4,1,1,202,164,2
431901,376116,"short and wide outside off stump, subdued cut shot, tapped gently to point",1,5.5,5.06,5.5,0,0,224,175,3
431901,376116,"full outside off stump, he's playing inside the line over and over again and keeps getting beaten. Goes for the drive this time but is nowhere near it",1,5.6,5.07,5.6,0,0,0,0,0
443150,481896,"back of a length in the corridor, defended into the off side",1,6.1,6.01,6.1,0,0,138,181,6
443150,481896,"back of a length outside off. Some width there, but the ball climbs above the outside edge as he cuts",1,6.2,6.02,6.2,0,0,0,0,0
443150,481896,"back of a length, corridor, defended into the off side. Wants a quick single, but short point is lurking",1,6.3,6.03,6.3,0,0,140,170,6
443150,481896,"back of a length, corridor, back foot defence. Memorise it",1,6.4,6.04,6.4,0,0,132,172,6
443150,481896,"Metronome Shami. Length, corridor, back foot bunt into the off side",1,6.5,6.05,6.5,0,0,139,220,5
443150,481896,"back of a length, slight bait with the width, batsman happy to let it go and it's another maiden",1,6.6,6.06,6.6,0,0,0,0,0
431901,376116,"back of a length, angled in at off stump, pushed to mid-off on the up",1,7.1,7.01,7.1,0,0,198,228,4
431901,376116,"short and down the leg side, Lewis tears up at this generous offering. Perhaps why he can't connect on the expansive pull",1,7.2,7.02,7.2,0,1,0,0,0
431901,376116,"<b>connects this time!</b> And it's sailed over the square leg boundary. Short and into the hips again, he swivels, gets under it and doesn't even look in the direction of the ball after he has dismissed it",1,7.2,7.03,7.2,6,6,7,135,7
431901,376116,"back of a length outside off stump, a tentative push at it, thick outside edge to third man",1,7.3,7.04,7.3,1,1,257,48,1
443150,376116,"yorker aimed for leg stump, slides through from under the bat as he looks to jam it out, cops it on the pad...apologies, there was an inside edge",1,7.4,7.05,7.4,0,0,0,0,0
443150,376116,"good length, angled into the pads, tucked away to fine leg",1,7.5,7.06,7.5,1,1,314,93,2
431901,376116,"good length, angled in, defended back down the pitch after a quick shuffle towards the off side",1,7.6,7.07,7.6,0,0,162,189,5
443150,481896,"back of a length in the corridor, squeezed out to cover point",1,8.1,8.01,8.1,0,0,112,176,6
443150,481896,"shuffles across. No secret where this ball is going to be. But he can't steal the single on the leg side, closes the face too late on this length ball in the corridor",1,8.2,8.02,8.2,0,0,195,190,4
443150,481896,"back of a length outside off, slashes at this on the up, beaten by slight movement away off the pitch",1,8.3,8.03,8.3,0,0,0,0,0
443150,481896,"good length, just outside off stump. Punched back straight off the back foot, Shami gets his left hand to it and makes mid-off's job easier",1,8.4,8.04,8.4,0,0,160,228,5
443150,481896,"good length outside off stump, shuffles across, lets it go",1,8.5,8.05,8.5,0,0,0,0,0
443150,481896,"back of a length, corridor, shovelled wide of mid-on off the back foot",1,8.6,8.06,8.6,1,1,223,211,4
443150,376116,"full and down leg, clipped off the pads to fine leg",1,9.1,9.01,9.1,1,1,263,71,1
431901,376116,"good shot. Not middled though, this punch on the up. Good length ball outside off, and Kohli runs to his right at mid-off. First confident drive from Lewis.",1,9.2,9.02,9.2,2,2,271,246,3
431901,376116,"short and wide, left alone, lands in front of Dhoni who has had to use his pads a couple of times today",1,9.3,9.03,9.3,0,0,0,0,0
431901,376116,"back of a length at off stump, pushed to midwicket on the up",1,9.4,9.04,9.4,0,0,132,196,6
431901,376116,"back of a length outside off stump, looks to slash through the off side, gets it back down the pitch off the inside half",1,9.5,9.05,9.5,0,0,189,190,4
431901,376116,"back of a length in the corridor, driven on the up, straight to extra cover",1,9.6,9.06,9.6,0,0,210,198,4
443150,234675,"good length outside off stump, pushed on the up to extra cover",1,10.1,10.01,10.1,0,0,129,193,6
443150,234675,"drifted in, good length, off stump, driven to extra cover",1,10.2,10.02,10.2,0,0,126,192,6
443150,234675,"full at middle stump, driven past the non-striker and they push long-on on his throw",1,10.3,10.03,10.3,2,2,195,337,4
443150,234675,"good length at off stump, defended off the back foot",1,10.4,10.04,10.4,0,0,170,192,5
