batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
39745,326016,"starts with a wide down the leg side, a bit of swing towards Dhoni's right, and they pick up an extra run off the fumble",1,0.1,0.01,0.1,0,2,0,0,0
384817,326016,"full, straighter, pushed to mid-off",1,0.1,0.02,0.1,0,0,115,202,6
384817,326016,"a bit of swing in from outside off, driven towards Rahane at short cover",1,0.2,0.03,0.2,0,0,109,175,6
384817,326016,"length ball outside off, left alone",1,0.3,0.04,0.3,0,0,0,0,0
384817,326016,"outswinger outside off, left alone again",1,0.4,0.05,0.4,0,0,0,0,0
384817,326016,"on a nice length in the corridor, angled in and shaped away. Berenger shaped to play and then decided to leave",1,0.5,0.06,0.5,0,0,0,0,0
384817,326016,full and wide and he chases after it and slices it in the air and into the gap through cover point,1,0.6,0.07,0.6,4,4,19,123,7
39745,376116,"starts with the bouncer, at the batsman's throat. Goes for the hook and top-edges it high in the air. Rohit dives to his left after running from short midwicket, can't quite get to the ball, which falls a couple of yards away",1,1.1,1.01,1.1,1,1,99,155,7
384817,376116,"length ball outside off. Berenger rocked back and across to pull, it shaped away a touch and he ended up flat-batting it back to the bowler",1,1.2,1.02,1.2,0,0,168,200,5
384817,376116,"lovely. Leaves Berenger from a good length outside off, close enough to force him to play, and it beats him and carries through to Dhoni",1,1.3,1.03,1.3,0,0,0,0,0
384817,376116,"gone! Another bouncer, too quick for Berenger to hook. Top edge loops behind him and Dhoni takes a simple catch after taking a couple of steps to his left",1,1.4,1.04,1.4,0,0,200,142,1
290645,376116,"and Umesh beats him first ball. Nice length, and Chandran is frozen to his crease, and plays and misses at a nice outswinger outside off",1,1.5,1.05,1.5,0,0,0,0,0
290645,376116,"aaaand again. This one was angled in a bit further, and shaped away even more to open up the batsman as it swerved past his outside edge. He was looking to play it with the angle into the on side",1,1.6,1.06,1.6,0,0,0,0,0
39745,326016,"back of a length, swinging into middle and leg, tucked away towards backward square leg",1,2.1,2.01,2.1,1,1,92,156,7
290645,326016,"big appeal for lbw, not given. Angled it in from wide of the crease, and it straightened just a touch as the batsman looked to work it leg side. Went past his outside edge and hit the back pad. That looked quite close, in line with off stump. Not reviewed. Height, maybe.",1,2.2,2.02,2.2,0,1,100,168,6
39745,326016,"this one stays with the angle across the left-hander, and he leaves it alone",1,2.3,2.03,2.3,0,0,0,0,0
39745,326016,"short ball, Amjad is a little late on the pull, top edges it loopily a fair distance to the right of Dhoni",1,2.4,2.04,2.4,1,1,125,126,7
290645,326016,"slides into the pads, and he can't connect with the flick, runs off the side of the pad backward of square",1,2.5,2.05,2.5,0,1,234,125,2
39745,326016,"back of a length, a touch too straight, worked off the hips towards long leg",1,2.6,2.06,2.6,1,1,122,54,8
39745,376116,"bounce and swing into Amjad, cramps him as he goes back and across to defend, hits him on the thigh pad",1,3.1,3.01,3.1,0,0,0,0,0
39745,376116,"length ball slanting away outside off, a bit of shape in but not enough to make Amjad play",1,3.2,3.02,3.2,0,0,0,0,0
39745,376116,this one's even wider and it's an easier leave,1,3.3,3.03,3.3,0,0,0,0,0
39745,376116,"a little fuller, swinging in. Goes for the flick and can't connect. Off the pads towards short midwicket",1,3.4,3.04,3.4,0,0,0,0,0
39745,376116,"looks to pull one that isn't particularly short, and ends up scooping it up towards Raina at leg slip. Sticks his right hand in the air, can't hold on. No bat on it, actually. Off the thigh pad",1,3.5,3.05,3.5,0,0,0,0,0
39745,376116,"back of a length in the corridor, dabbed to backward point",1,3.6,3.06,3.6,0,0,247,191,3
290645,326016,"back of a length, angling in towards off stump. Chandran is back and across to defend",1,4.1,4.01,4.1,0,0,201,208,4
290645,326016,"wider outside off this time, left alone",1,4.2,4.02,4.2,0,0,0,0,0
290645,326016,"stays back to a length ball on off stump, defends with soft hands towards point",1,4.3,4.03,4.3,0,0,109,160,7
290645,326016,"back of a length outside off, gets on his toes to defend towards point",1,4.4,4.04,4.4,0,0,117,147,7
290645,326016,"and here's the one that goes the other way. Snakes in towards off stump, and Chandran, hopping back and across, jabs his bat down a little late and the inside-edge runs away towards fine leg",1,4.5,4.05,4.5,1,1,257,49,1
39745,326016,"bouncer, Amjad goes for the hook, and it flies through to Dhoni, who appeals loudly for caught behind. Bowden gives it out, and Amjad walks away without complaint or review, so there must have been a thin edge on it. Glove, replays suggest.",1,4.6,4.06,4.6,0,0,184,150,1
290645,376116,"back of a length, again that curl away, and Chandran shuffles across, pokes, and misses",1,5.1,5.01,5.1,0,0,0,0,0
290645,376116,"shorter, not so much shape this time, and he gets nicely behind it to defend",1,5.2,5.02,5.2,0,0,174,209,5
290645,376116,"another bouncer, Chandran ducks low under it",1,5.3,5.03,5.3,0,0,0,0,0
290645,376116,"short outside off with some movement away, Chandran jumps across and drops his bat away from the line to leave it alone",1,5.4,5.04,5.4,0,0,0,0,0
290645,376116,"beaten again. This one's fuller, and angles in to force Chandran to play at it, before moving away off the pitch to beat his edge",1,5.5,5.05,5.5,0,0,0,0,0
290645,376116,"even fuller now, moves away, and Chandran's feet are stuck in the crease. Pokes at it and edges it thickly towards point",1,5.6,5.06,5.6,0,0,112,162,7
25589,326016,"back of a length, angling across Khurram, who takes a big step back and across and calmly shoulders arms",1,6.1,6.01,6.1,0,0,0,0,0
25589,326016,a touch fuller and closer to off stump. Back and across again to prod it away towards third man,1,6.2,6.02,6.2,1,1,268,113,2
290645,326016,"full on off stump, clipped towards mid-on",1,6.3,6.03,6.3,0,0,211,211,4
290645,326016,"full again, outside off, no real swing this time and he leans forward to push it away through the covers. Didn't look to hit it hard, just met it with the full face",1,6.4,6.04,6.4,2,2,79,181,6
290645,326016,"back of a length outside off, defended towards mid-off off the back foot",1,6.5,6.05,6.5,0,0,118,211,6
290645,326016,"inswinger now, very full, and Chandran blocks it down to mid-off",1,6.6,6.06,6.6,0,0,131,203,6
25589,376116,"fullish, slanting away wide outside off, Khurram leaves it alone",1,7.1,7.01,7.1,0,1,0,0,0
25589,376116,"a bit fuller, a little closer to the batsman, close enough for the umpire to not signal wide. Left alone again",1,7.1,7.02,7.1,0,0,0,0,0
