batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
34102,330902,"on a length, no swing, defended towards cover-point. Sets off for a non-existent single. Sent back in time",1,0.1,0.01,0.1,0,0,127,179,6
34102,330902,"Mustafizur to Sharma in last three balls: 0 runs, 2 wickets. Loose shot. Really really loose shot. Will Kohli come out to face the music now? Sharma first. Drives loosely at a length ball away from the body. Doesn't come as quickly as he expects it to, and ends up slicing it to point. He is prone to doing this early on, and that is why despite the numbers he is not an ideal choice for an opener",1,0.2,0.02,0.2,0,0,112,154,7
253802,330902,"on a length, just outside off, Kohli defends. He doesn't like leaving the ball alone. He likes bat on ball",1,0.3,0.03,0.3,0,0,133,196,6
253802,330902,"no mid-off in place, the ball is full, a half-volley, and Kohli pushes it through the mid-off gap for three runs",1,0.4,0.04,0.4,3,3,154,339,5
28235,330902,"length ball, angling in, no movement off the straight. Defended to leg",1,0.5,0.05,0.5,0,0,115,176,6
28235,330902,"on a length, just outside off, angling in, defended off the front foot",1,0.6,0.06,0.6,0,0,223,189,3
253802,538506,"oh heavy ball. Short of a length, into the ribs, and it explodes, and even the keeper struggles with the extra bounce. Kohli watches it go under his armpit. Harshly it has been called a wide",1,1.1,1.01,1.1,0,2,0,0,0
28235,538506,"short of a length, on the pads, defended to leg",1,1.1,1.02,1.1,0,0,116,179,6
28235,538506,"<b>an excitable appeal</b>. He has beaten Dhawan with the extra bounce, but the ball has pitched outside leg and has hit the thigh pad. Beaten for pace and bounce, though",1,1.2,1.03,1.2,0,0,0,0,0
28235,538506,"on a length, angling towards the top of leg stump, defended to cover",1,1.3,1.04,1.3,0,0,241,185,3
28235,538506,"short ball, chest high, pulled away, into the ground. The outfield is super quick. Tamim from long leg doesn't have too far to go to his right but the ball beats his dive",1,1.4,1.05,1.4,4,4,57,74,7
28235,538506,"just short of a length, within the stumps, Dhawan defends from the crease",1,1.5,1.06,1.5,0,0,169,202,5
28235,538506,"short and wide, Dhawan looks to cut, is beaten. The crowd goes up as the ball passes the bat, but umpire Tucker calls it a wide. A rather harsh call",1,1.6,1.07,1.6,0,1,0,0,0
28235,538506,"off the shoulder of the bat as he looks to punch this but is done in by extra bounce. There is no gully, though",1,1.6,1.08,1.6,1,1,289,61,2
28235,330902,a proper wide for a change. Well down leg,1,2.1,2.01,2.1,0,1,0,0,0
28235,330902,"short of a length, just outside off, and he has punched this wide of mid-off. Lovely shot",1,2.1,2.02,2.1,4,4,313,305,4
28235,330902,"short of a length, just outside off, pushed to cover",1,2.2,2.03,2.2,0,0,250,172,3
28235,330902,the crowd cheers again as Mustafizur fields in his follow-through and lets rip a throw at the striker's end. Dhawan is safe,1,2.3,2.04,2.3,0,0,167,197,5
28235,330902,"lovely bowling. On a length, just outside off, Dhawan plays, and he plays the angle. The ball holds its line, and beats the outside edge by a whisker",1,2.4,2.05,2.4,0,0,0,0,0
28235,330902,"short of a length, and this one jags back in after pitching, beating Dhawan's attempt to whip it. Hits him high on the thigh pad. No appeal for a change",1,2.5,2.06,2.5,0,0,0,0,0
28235,330902,"there is the offcutter. Dhawan hasn't picked it. In fact he has stepped out, and the ball dips on him, and cuts back in to hit the pad",1,2.6,2.07,2.6,0,0,0,0,0
253802,538506,gets a big stride in to defend a length ball outside off,1,3.1,3.01,3.1,0,0,168,199,5
253802,538506,"short of a length, rising towards the chest, angling in, defended off the back foot",1,3.2,3.02,3.2,0,0,204,192,4
253802,538506,"just short of a length, outside off, Kohli stays back to defend",1,3.3,3.03,3.3,0,0,144,186,6
253802,538506,"he is trying to keep it wide, but that length needs to be spot on. This time he goes a touch too short, and Kohli cuts him powerfully. Doesn't bother keeping it down. One bounce four over point",1,3.4,3.04,3.4,4,4,11,194,6
253802,538506,"better length, can't cut this, and he has to leave it alone. Just inside the tram line",1,3.5,3.05,3.5,0,0,0,0,0
253802,538506,"bouncer, good sharp bouncer, Das has to fly to get a hand to it and Sarkar from slip cleans up behind him. However, he has overstepped. Just by an inch, but still a no-ball",1,3.6,3.06,3.6,0,1,0,0,0
253802,538506,"<strong>and Kohli has defended a free hit</strong>. Short of a length, wide, and as he doesn't know this is a free hit, he just defends it to point",1,3.6,3.07,3.6,0,0,124,141,7
28235,330902,"on a length, just outside off, doesn't quite come on, and Dhawan's drive is off its time",1,4.1,4.01,4.1,0,0,200,200,4
28235,330902,"short of a length, angling in, whipped away past midwicket. Indecision while taking the third. Sent back. Kohli has come up half way before he looks up at Dhawan who has held his hand up",1,4.2,4.02,4.2,2,2,42,156,7
28235,330902,"on a length, angling in, pushed to mid-on",1,4.3,4.03,4.3,0,0,159,250,5
28235,330902,"short ball, slower short ball, 123ks, but this has sat up chest high for Dhawan to pull it through midwicket",1,4.4,4.04,4.4,4,4,19,258,6
28235,330902,"offcutter again but Dhawan is now picking them, and drives it past point for a single",1,4.5,4.05,4.5,1,1,332,119,2
