com,fow,out,ovr,how,p
"Willey makes the breakthrough! No swing, that one just held its line, took the edge as Burns flapped limply outside off, and England have the vital early wicket!",2/1,326632,2.2,c &dagger;Bairstow b Willey 0 (9m 10b 0x4 0x6) SR: 0.00,Joe Burns
"edged and gone! Smith falls in the final over before lunch! Just held its line outside off, a firm drive, snicks the edge, and England have a glimmer (no more than that) as George Bailey comes to the crease",31/2,267192,9.1,c &dagger;Bairstow b Wood 12 (30m 28b 1x4 0x6) SR: 42.85,Steven Smith
