Player,Player Link,Maidens,Overs,Runs,Wickets,Economy,Inns,Opposition,Ground,Start Date
JR Hazlewood,/ci/content/player/288284.html,2,6.1,13,2,2.10,2,England,Perth,1 Feb 2015
A Zampa,/ci/content/player/379504.html,1,4.0,13,2,3.25,1,Bangladesh,The Oval,5 Jun 2017
GJ Maxwell,/ci/content/player/325026.html,0,3.0,15,2,5.00,1,South Africa,Providence,7 Jun 2016
MA Starc,/ci/content/player/311592.html,0,6.0,18,2,3.00,2,Afghanistan,Perth,4 Mar 2015
PJ Cummins,/ci/content/player/489889.html,0,5.0,19,2,3.80,2,Ireland,Belfast,27 Aug 2015
MA Starc,/ci/content/player/311592.html,0,8.0,20,2,2.50,1,New Zealand,Melbourne,29 Mar 2015
JR Hazlewood,/ci/content/player/288284.html,3,10.0,20,2,2.00,1,South Africa,Providence,7 Jun 2016
TM Head,/ci/content/player/530011.html,0,5.0,22,2,4.40,1,Sri Lanka,Pallekele,4 Sep 2016
JR Hazlewood,/ci/content/player/288284.html,1,8.0,25,2,3.12,2,Afghanistan,Perth,4 Mar 2015
PJ Cummins,/ci/content/player/489889.html,0,5.1,26,2,5.03,2,New Zealand,Melbourne,9 Dec 2016
JP Faulkner,/ci/content/player/270484.html,0,7.0,26,2,3.71,2,New Zealand,Melbourne,9 Dec 2016
MA Starc,/ci/content/player/311592.html,0,8.5,28,2,3.16,2,India,Sydney,26 Mar 2015
MA Starc,/ci/content/player/311592.html,0,8.2,29,2,3.48,2,Sri Lanka,Sydney,8 Mar 2015
MR Marsh,/ci/content/player/272450.html,0,6.0,30,2,5.00,1,New Zealand,Wellington,6 Feb 2016
JW Hastings,/ci/content/player/228622.html,0,7.5,31,2,3.95,1,Ireland,Benoni,27 Sep 2016
MA Starc,/ci/content/player/311592.html,0,5.0,34,2,6.80,2,Ireland,Belfast,27 Aug 2015
MA Starc,/ci/content/player/311592.html,0,8.0,34,2,4.25,2,Pakistan,Brisbane,13 Jan 2017
MR Marsh,/ci/content/player/272450.html,0,7.0,35,2,5.00,1,New Zealand,Auckland,3 Feb 2016
JP Faulkner,/ci/content/player/270484.html,0,9.0,35,2,3.88,2,Pakistan,Melbourne,15 Jan 2017
MG Johnson,/ci/content/player/6033.html,0,8.0,36,2,4.50,2,England,Melbourne,14 Feb 2015
MA Starc,/ci/content/player/311592.html,0,9.0,37,2,4.11,1,West Indies,Providence,5 Jun 2016
TM Head,/ci/content/player/530011.html,0,7.0,37,2,5.28,2,New Zealand,Melbourne,9 Dec 2016
PJ Cummins,/ci/content/player/489889.html,0,6.1,38,2,6.16,2,New Zealand,Auckland,28 Feb 2015
NM Coulter-Nile,/ci/content/player/261354.html,2,10.0,38,2,3.80,1,South Africa,Providence,7 Jun 2016
MR Marsh,/ci/content/player/272450.html,1,8.2,38,2,4.56,2,New Zealand,Sydney,4 Dec 2016
NM Coulter-Nile,/ci/content/player/261354.html,1,8.0,39,2,4.87,2,England,Southampton,3 Sep 2015
SR Watson,/ci/content/player/8180.html,0,8.0,39,2,4.87,2,England,Southampton,3 Sep 2015
MA Starc,/ci/content/player/311592.html,1,10.0,40,2,4.00,1,Pakistan,Adelaide,20 Mar 2015
GJ Maxwell,/ci/content/player/325026.html,0,4.0,41,2,10.25,2,Ireland,Belfast,27 Aug 2015
