Player,Player Link,Maidens,Overs,Runs,Wickets,Economy,Inns,Opposition,Ground,Start Date
V Kohli,/ci/content/player/253802.html,-,TDNB,-,-,-,-,West Indies,Port of Spain,23 Jun 2017
AM Rahane,/ci/content/player/277916.html,-,TDNB,-,-,-,-,West Indies,Port of Spain,23 Jun 2017
KM Jadhav,/ci/content/player/290716.html,-,TDNB,-,-,-,-,West Indies,Port of Spain,23 Jun 2017
B Kumar,/ci/content/player/326016.html,-,TDNB,-,-,-,-,West Indies,Port of Spain,23 Jun 2017
Yuvraj Singh,/ci/content/player/36084.html,-,TDNB,-,-,-,-,West Indies,Port of Spain,23 Jun 2017
R Ashwin,/ci/content/player/26421.html,-,TDNB,-,-,-,-,West Indies,Port of Spain,23 Jun 2017
S Dhawan,/ci/content/player/28235.html,-,TDNB,-,-,-,-,West Indies,Port of Spain,23 Jun 2017
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,2,West Indies,Port of Spain,25 Jun 2017
S Dhawan,/ci/content/player/28235.html,-,DNB,-,-,-,2,West Indies,Port of Spain,25 Jun 2017
V Kohli,/ci/content/player/253802.html,-,DNB,-,-,-,2,West Indies,Port of Spain,25 Jun 2017
