Player,Player Link,Minutes,Runs,Balls Faced,Fours,Sixes,Strike Rate,Inns,Opposition,Ground,Start Date
KM Jadhav,/ci/content/player/290716.html,11,5,13,1,0,38.46,1,Zimbabwe,Harare,10 Jul 2015
AR Patel,/ci/content/player/554691.html,13,5,8,0,0,62.50,2,South Africa,Mumbai,25 Oct 2015
RA Jadeja,/ci/content/player/234675.html,9,5,5,0,0,100.00,1,Australia,Brisbane,15 Jan 2016
Gurkeerat Singh,/ci/content/player/537124.html,9,5,6,1,0,83.33,2,Australia,Canberra,20 Jan 2016
AM Rahane,/ci/content/player/277916.html,11,5,10,1,0,50.00,2,New Zealand,Mohali,23 Oct 2016
KL Rahul,/ci/content/player/422108.html,11,5,5,1,0,100.00,1,England,Cuttack,19 Jan 2017
V Kohli,/ci/content/player/253802.html,11,5,9,0,0,55.55,2,Pakistan,The Oval,18 Jun 2017
S Dhawan,/ci/content/player/28235.html,-,5,7,0,0,71.42,2,West Indies,North Sound,2 Jul 2017
S Dhawan,/ci/content/player/28235.html,-,5,3,1,0,166.66,2,Sri Lanka,Pallekele,27 Aug 2017
AM Rahane,/ci/content/player/277916.html,-,5,17,0,0,29.41,2,Sri Lanka,Colombo (RPS),3 Sep 2017
AM Rahane,/ci/content/player/277916.html,-,5,15,0,0,33.33,1,Australia,Chennai,17 Sep 2017
Mohammed Shami,/ci/content/player/481896.html,5,4*,5,1,0,80.00,1,South Africa,Melbourne,22 Feb 2015
AR Patel,/ci/content/player/554691.html,7,4*,4,0,0,100.00,1,South Africa,Chennai,22 Oct 2015
MK Pandey,/ci/content/player/290630.html,2,4*,1,1,0,400.00,2,Zimbabwe,Harare,13 Jun 2016
V Kohli,/ci/content/player/253802.html,13,4,8,0,0,50.00,1,England,Brisbane,20 Jan 2015
S Dhawan,/ci/content/player/28235.html,27,4,20,1,0,20.00,2,Zimbabwe,Auckland,14 Mar 2015
R Ashwin,/ci/content/player/26421.html,10,4,10,0,0,40.00,1,Bangladesh,Dhaka,21 Jun 2015
UT Yadav,/ci/content/player/376116.html,3,4,3,1,0,133.33,1,South Africa,Indore,14 Oct 2015
AM Rahane,/ci/content/player/277916.html,12,4,7,0,0,57.14,2,South Africa,Rajkot,18 Oct 2015
