Player,Player Link,Minutes,Runs,Balls Faced,Fours,Sixes,Strike Rate,Inns,Opposition,Ground,Start Date
BB Sran,/ci/content/player/537126.html,-,DNB,-,-,-,-,1,Australia,Brisbane,15 Jan 2016
I Sharma,/ci/content/player/236779.html,-,DNB,-,-,-,-,1,Australia,Brisbane,15 Jan 2016
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,1,Australia,Melbourne,17 Jan 2016
I Sharma,/ci/content/player/236779.html,-,DNB,-,-,-,-,1,Australia,Melbourne,17 Jan 2016
BB Sran,/ci/content/player/537126.html,-,DNB,-,-,-,-,1,Australia,Melbourne,17 Jan 2016
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,2,Australia,Sydney,23 Jan 2016
R Dhawan,/ci/content/player/290727.html,-,DNB,-,-,-,-,2,Australia,Sydney,23 Jan 2016
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,2,Australia,Sydney,23 Jan 2016
RA Jadeja,/ci/content/player/234675.html,-,DNB,-,-,-,-,2,Australia,Sydney,23 Jan 2016
I Sharma,/ci/content/player/236779.html,-,DNB,-,-,-,-,2,Australia,Sydney,23 Jan 2016
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,11 Jun 2016
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,11 Jun 2016
YS Chahal,/ci/content/player/430246.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,11 Jun 2016
DS Kulkarni,/ci/content/player/277955.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,11 Jun 2016
BB Sran,/ci/content/player/537126.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,11 Jun 2016
MK Pandey,/ci/content/player/290630.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,11 Jun 2016
AR Patel,/ci/content/player/554691.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,11 Jun 2016
KM Jadhav,/ci/content/player/290716.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,11 Jun 2016
YS Chahal,/ci/content/player/430246.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,13 Jun 2016
KM Jadhav,/ci/content/player/290716.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,13 Jun 2016
BB Sran,/ci/content/player/537126.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,13 Jun 2016
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,13 Jun 2016
AR Patel,/ci/content/player/554691.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,13 Jun 2016
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,13 Jun 2016
DS Kulkarni,/ci/content/player/277955.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,13 Jun 2016
YS Chahal,/ci/content/player/430246.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,15 Jun 2016
BB Sran,/ci/content/player/537126.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,15 Jun 2016
DS Kulkarni,/ci/content/player/277955.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,15 Jun 2016
AR Patel,/ci/content/player/554691.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,15 Jun 2016
MK Pandey,/ci/content/player/290630.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,15 Jun 2016
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,15 Jun 2016
KM Jadhav,/ci/content/player/290716.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,15 Jun 2016
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,15 Jun 2016
AT Rayudu,/ci/content/player/33141.html,-,DNB,-,-,-,-,2,Zimbabwe,Harare,15 Jun 2016
A Mishra,/ci/content/player/31107.html,-,DNB,-,-,-,-,2,New Zealand,Dharamsala,16 Oct 2016
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,2,New Zealand,Dharamsala,16 Oct 2016
AR Patel,/ci/content/player/554691.html,-,DNB,-,-,-,-,2,New Zealand,Dharamsala,16 Oct 2016
HH Pandya,/ci/content/player/625371.html,-,DNB,-,-,-,-,2,New Zealand,Dharamsala,16 Oct 2016
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,2,New Zealand,Dharamsala,16 Oct 2016
KM Jadhav,/ci/content/player/290716.html,-,DNB,-,-,-,-,2,New Zealand,Mohali,23 Oct 2016
A Mishra,/ci/content/player/31107.html,-,DNB,-,-,-,-,2,New Zealand,Mohali,23 Oct 2016
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,2,New Zealand,Mohali,23 Oct 2016
AR Patel,/ci/content/player/554691.html,-,DNB,-,-,-,-,2,New Zealand,Mohali,23 Oct 2016
HH Pandya,/ci/content/player/625371.html,-,DNB,-,-,-,-,2,New Zealand,Mohali,23 Oct 2016
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,2,New Zealand,Mohali,23 Oct 2016
A Mishra,/ci/content/player/31107.html,-,DNB,-,-,-,-,1,New Zealand,Visakhapatnam,29 Oct 2016
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,1,New Zealand,Visakhapatnam,29 Oct 2016
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,1,New Zealand,Visakhapatnam,29 Oct 2016
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,2,England,Pune,15 Jan 2017
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,2,England,Pune,15 Jan 2017
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,1,England,Cuttack,19 Jan 2017
B Kumar,/ci/content/player/326016.html,-,DNB,-,-,-,-,1,England,Cuttack,19 Jan 2017
R Ashwin,/ci/content/player/26421.html,-,DNB,-,-,-,-,1,England,Cuttack,19 Jan 2017
RA Jadeja,/ci/content/player/234675.html,-,DNB,-,-,-,-,1,Pakistan,Birmingham,4 Jun 2017
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,1,Pakistan,Birmingham,4 Jun 2017
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,-,1,Pakistan,Birmingham,4 Jun 2017
KM Jadhav,/ci/content/player/290716.html,-,DNB,-,-,-,-,1,Pakistan,Birmingham,4 Jun 2017
B Kumar,/ci/content/player/326016.html,-,DNB,-,-,-,-,1,Pakistan,Birmingham,4 Jun 2017
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,1,Pakistan,Birmingham,4 Jun 2017
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,1,Sri Lanka,The Oval,8 Jun 2017
B Kumar,/ci/content/player/326016.html,-,DNB,-,-,-,-,1,Sri Lanka,The Oval,8 Jun 2017
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,1,Sri Lanka,The Oval,8 Jun 2017
HH Pandya,/ci/content/player/625371.html,-,DNB,-,-,-,-,2,South Africa,The Oval,11 Jun 2017
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,2,South Africa,The Oval,11 Jun 2017
RA Jadeja,/ci/content/player/234675.html,-,DNB,-,-,-,-,2,South Africa,The Oval,11 Jun 2017
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,-,2,South Africa,The Oval,11 Jun 2017
KM Jadhav,/ci/content/player/290716.html,-,DNB,-,-,-,-,2,South Africa,The Oval,11 Jun 2017
R Ashwin,/ci/content/player/26421.html,-,DNB,-,-,-,-,2,South Africa,The Oval,11 Jun 2017
B Kumar,/ci/content/player/326016.html,-,DNB,-,-,-,-,2,South Africa,The Oval,11 Jun 2017
B Kumar,/ci/content/player/326016.html,-,DNB,-,-,-,-,2,Bangladesh,Birmingham,15 Jun 2017
HH Pandya,/ci/content/player/625371.html,-,DNB,-,-,-,-,2,Bangladesh,Birmingham,15 Jun 2017
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,2,Bangladesh,Birmingham,15 Jun 2017
RA Jadeja,/ci/content/player/234675.html,-,DNB,-,-,-,-,2,Bangladesh,Birmingham,15 Jun 2017
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,-,2,Bangladesh,Birmingham,15 Jun 2017
Yuvraj Singh,/ci/content/player/36084.html,-,DNB,-,-,-,-,2,Bangladesh,Birmingham,15 Jun 2017
KM Jadhav,/ci/content/player/290716.html,-,DNB,-,-,-,-,2,Bangladesh,Birmingham,15 Jun 2017
R Ashwin,/ci/content/player/26421.html,-,DNB,-,-,-,-,2,Bangladesh,Birmingham,15 Jun 2017
R Ashwin,/ci/content/player/26421.html,-,DNB,-,-,-,-,1,West Indies,Port of Spain,23 Jun 2017
KM Jadhav,/ci/content/player/290716.html,-,DNB,-,-,-,-,1,West Indies,Port of Spain,23 Jun 2017
B Kumar,/ci/content/player/326016.html,-,DNB,-,-,-,-,1,West Indies,Port of Spain,23 Jun 2017
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,1,West Indies,Port of Spain,23 Jun 2017
Kuldeep Yadav,/ci/content/player/559235.html,-,DNB,-,-,-,-,1,West Indies,Port of Spain,23 Jun 2017
HH Pandya,/ci/content/player/625371.html,-,DNB,-,-,-,-,1,West Indies,Port of Spain,23 Jun 2017
B Kumar,/ci/content/player/326016.html,-,DNB,-,-,-,-,1,West Indies,Port of Spain,25 Jun 2017
R Ashwin,/ci/content/player/26421.html,-,DNB,-,-,-,-,1,West Indies,Port of Spain,25 Jun 2017
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,1,West Indies,Port of Spain,25 Jun 2017
Kuldeep Yadav,/ci/content/player/559235.html,-,DNB,-,-,-,-,1,West Indies,Port of Spain,25 Jun 2017
HH Pandya,/ci/content/player/625371.html,-,DNB,-,-,-,-,1,West Indies,North Sound,30 Jun 2017
B Kumar,/ci/content/player/326016.html,-,DNB,-,-,-,-,1,West Indies,North Sound,30 Jun 2017
R Ashwin,/ci/content/player/26421.html,-,DNB,-,-,-,-,1,West Indies,North Sound,30 Jun 2017
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,1,West Indies,North Sound,30 Jun 2017
Kuldeep Yadav,/ci/content/player/559235.html,-,DNB,-,-,-,-,1,West Indies,North Sound,30 Jun 2017
Kuldeep Yadav,/ci/content/player/559235.html,-,DNB,-,-,-,-,2,West Indies,Kingston,6 Jul 2017
HH Pandya,/ci/content/player/625371.html,-,DNB,-,-,-,-,2,West Indies,Kingston,6 Jul 2017
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,-,2,West Indies,Kingston,6 Jul 2017
KM Jadhav,/ci/content/player/290716.html,-,DNB,-,-,-,-,2,West Indies,Kingston,6 Jul 2017
UT Yadav,/ci/content/player/376116.html,-,DNB,-,-,-,-,2,West Indies,Kingston,6 Jul 2017
Mohammed Shami,/ci/content/player/481896.html,-,DNB,-,-,-,-,2,West Indies,Kingston,6 Jul 2017
RA Jadeja,/ci/content/player/234675.html,-,DNB,-,-,-,-,2,West Indies,Kingston,6 Jul 2017
HH Pandya,/ci/content/player/625371.html,-,DNB,-,-,-,-,2,Sri Lanka,Dambulla,20 Aug 2017
KM Jadhav,/ci/content/player/290716.html,-,DNB,-,-,-,-,2,Sri Lanka,Dambulla,20 Aug 2017
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,2,Sri Lanka,Dambulla,20 Aug 2017
B Kumar,/ci/content/player/326016.html,-,DNB,-,-,-,-,2,Sri Lanka,Dambulla,20 Aug 2017
MS Dhoni,/ci/content/player/28081.html,-,DNB,-,-,-,-,2,Sri Lanka,Dambulla,20 Aug 2017
KL Rahul,/ci/content/player/422108.html,-,DNB,-,-,-,-,2,Sri Lanka,Dambulla,20 Aug 2017
YS Chahal,/ci/content/player/430246.html,-,DNB,-,-,-,-,2,Sri Lanka,Dambulla,20 Aug 2017
AR Patel,/ci/content/player/554691.html,-,DNB,-,-,-,-,2,Sri Lanka,Dambulla,20 Aug 2017
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,2,Sri Lanka,Pallekele,24 Aug 2017
YS Chahal,/ci/content/player/430246.html,-,DNB,-,-,-,-,2,Sri Lanka,Pallekele,24 Aug 2017
AR Patel,/ci/content/player/554691.html,-,DNB,-,-,-,-,2,Sri Lanka,Pallekele,27 Aug 2017
HH Pandya,/ci/content/player/625371.html,-,DNB,-,-,-,-,2,Sri Lanka,Pallekele,27 Aug 2017
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,2,Sri Lanka,Pallekele,27 Aug 2017
B Kumar,/ci/content/player/326016.html,-,DNB,-,-,-,-,2,Sri Lanka,Pallekele,27 Aug 2017
YS Chahal,/ci/content/player/430246.html,-,DNB,-,-,-,-,2,Sri Lanka,Pallekele,27 Aug 2017
Kuldeep Yadav,/ci/content/player/559235.html,-,DNB,-,-,-,-,1,Sri Lanka,Colombo (RPS),31 Aug 2017
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,1,Sri Lanka,Colombo (RPS),31 Aug 2017
SN Thakur,/ci/content/player/475281.html,-,DNB,-,-,-,-,1,Sri Lanka,Colombo (RPS),31 Aug 2017
AR Patel,/ci/content/player/554691.html,-,DNB,-,-,-,-,1,Sri Lanka,Colombo (RPS),31 Aug 2017
SN Thakur,/ci/content/player/475281.html,-,DNB,-,-,-,-,2,Sri Lanka,Colombo (RPS),3 Sep 2017
Kuldeep Yadav,/ci/content/player/559235.html,-,DNB,-,-,-,-,2,Sri Lanka,Colombo (RPS),3 Sep 2017
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,2,Sri Lanka,Colombo (RPS),3 Sep 2017
B Kumar,/ci/content/player/326016.html,-,DNB,-,-,-,-,2,Sri Lanka,Colombo (RPS),3 Sep 2017
YS Chahal,/ci/content/player/430246.html,-,DNB,-,-,-,-,2,Sri Lanka,Colombo (RPS),3 Sep 2017
YS Chahal,/ci/content/player/430246.html,-,DNB,-,-,-,-,1,Australia,Chennai,17 Sep 2017
JJ Bumrah,/ci/content/player/625383.html,-,DNB,-,-,-,-,1,Australia,Chennai,17 Sep 2017
