batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
56194,311592,"nice line to launch the innings, fading into the left-hander and ghosting past the edge",1,0.1,0.01,0.1,0,0,0,0,0
56194,311592,"touch wider this time, back of a length, he watches it go by",1,0.2,0.02,0.2,0,0,0,0,0
56194,311592,"first runs. They're off the pad. Starc goes fuller this time, probably looking to shape this away from a middle stump line, but that goes down leg with his angle and past Tamim's flick for a tickle off the pads",1,0.3,0.03,0.3,0,4,163,5,8
56194,311592,"full, a shade wide outside off, he puts in a nervous stride and gets this down to third man off the outside half of the bat",1,0.4,0.04,0.4,1,1,255,39,1
436677,311592,"ooooh yes. Ambitious from Sarkar first up. Pushes away from the body and looks to drive this length ball on the up, but it nips back sharply from outside off and flies over his off stump via the big gap",1,0.5,0.05,0.5,0,0,0,0,0
436677,311592,"beats him on the inside edge once more. This is a yorker, just outside off stump. Sarkar tries to jam this to third man, but there's no feet from him again",1,0.6,0.06,0.6,0,0,0,0,0
56194,288284,"a shout for lbw, turned down. Tamim prods at this length ball with half a stride, and he's struck on the flap outside off. Going over",1,1.1,1.01,1.1,0,0,0,0,0
56194,288284,"nice. Back of a length, off stump, and cutting away sharply as Tamim looks to poke at this off the back foot. Well beaten",1,1.2,1.02,1.2,0,0,0,0,0
56194,288284,"full and straightening at leg stump, beats him for pace on the flick, ball dribbles away behind square off the pad",1,1.3,1.03,1.3,1,1,111,135,7
436677,288284,"length, off stump, slight slant away from the left-hander who is behind this to defend off the back foot",1,1.4,1.04,1.4,0,0,214,192,3
436677,288284,"good length, off stump, soft-handed forward block into the off side",1,1.5,1.05,1.5,0,0,240,179,3
436677,288284,"good length, angled across off stump, goes back to this and leaves his off stump exposed as he defends away from the body",1,1.6,1.06,1.6,0,0,199,191,4
56194,311592,"full, aimed for off stump. Tamim is late on this with a half-stride, digs it into the pitch as he looks to drive with a full face",1,2.1,2.01,2.1,0,0,227,195,3
56194,311592,"good length, in the channel. Tamim's most confident stride of the day comes out this time, but he can't time this drive well enough to beat mid-off",1,2.2,2.02,2.2,0,0,216,254,4
56194,311592,"back of a length at middle, gets on his toes and drops this into the leg side with a closed face",1,2.3,2.03,2.3,0,0,132,177,6
56194,311592,"a big stare from the big fast bowler. He's hit Tamim on the glove with a bouncer. The batsman is late on this, but he's got his bat up awkwardly even as he's trying to get inside the line. Thankfully for him, this doesn't lob up to the slips",1,2.4,2.04,2.4,0,0,0,0,0
56194,311592,"a yorker, just outside off stump, slight movement in, Tamim is happy to let it go",1,2.5,2.05,2.5,0,0,0,0,0
56194,311592,"back of a length at off stump, solidly behind the line to defend this back down the pitch",1,2.6,2.06,2.6,0,0,165,195,5
436677,288284,"back of a length in the corridor, nervous poke into the off side off the back foot",1,3.1,3.01,3.1,0,0,218,139,2
436677,288284,"good length, angled away from Sarkar, who opens the face to stab this down to third man to get off the mark",1,3.2,3.02,3.2,1,1,291,73,2
56194,288284,"<b>enough</b>, says Tamim. Down the track before Hazlewood lets this go, and sufficiently leg side of this length ball to hammer a flat-batted zinger on the up past his partner",1,3.3,3.03,3.3,4,4,218,354,4
