batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
226492,311592,"length ball outside off, left alone. A Test-like start to the final of 2015",1,0.1,0.01,0.1,0,0,0,0,0
226492,311592,"short of a length, on off, he opens the face to guide it to third man for one",1,0.2,0.02,0.2,1,1,105,56,8
37737,311592,"perfect first ball. Starc has brought it. Full, just outside off at 149ks, McCullum drives, but is beaten on the inside edge. Misses the off stump by six inches. Great start from Starc",1,0.3,0.03,0.3,0,0,0,0,0
37737,311592,"McCullum gives him the charge, Starc stays full, follows him as he backs away. No room, swinging in, beats him",1,0.4,0.04,0.4,0,0,0,0,0
37737,311592,"Timbahhhhhhh. Starc you beauty. What a ripper [in Bill Lawry voice]. What an occasion. What a start. He blows it full, he swings it in, he lands it between the stumps and the popping crease. McCullum is tentative for once. The bat comes down late. Off stump is set back. Starc goes away on a celebratory run. MCG is on its feet. The game is not over obviously, but Starc... how is that for a start?",1,0.5,0.05,0.5,0,0,0,0,0
277906,311592,"more swing, more pace. Some dip on it. Williamson is hit on the pad, but the ball is headed down leg",1,0.6,0.06,0.6,0,0,0,0,0
226492,288284,"short of a length, on the pads, worked around the corner",1,1.1,1.01,1.1,1,1,273,57,1
277906,288284,more swing. Another outswinger. Left alone outside off,1,1.2,1.02,1.2,0,0,0,0,0
277906,288284,"short of a length, outside off, gets chest high. Williamson thinks of playing at it, but leaves it alone late. Nerves there",1,1.3,1.03,1.3,0,0,0,0,0
277906,288284,"strays onto the pads, Williamson misses out on the flick, but gets four leg-byes for it",1,1.4,1.04,1.4,0,4,223,12,1
277906,288284,"full, just outside off, slight swing away, defended off the front foot",1,1.5,1.05,1.5,0,0,143,186,6
277906,288284,"on a length, in the tentative channel outside off, left alone",1,1.6,1.06,1.6,0,0,0,0,0
226492,311592,"more swing for Starc. That has dipped back in, Guptill seems trapped in front, but Guptill has got an inside edge onto the pad. The lbw shout is big, but they decide not to review it",1,2.1,2.01,2.1,0,0,202,179,3
226492,311592,"short of a length. First signs the ball might not come? Guptill looks to work this to leg, but he has to wait for it, and in the end he defends it back",1,2.2,2.02,2.2,0,0,200,188,4
226492,311592,"on a length, on off, defended from the crease",1,2.3,2.03,2.3,0,0,149,191,6
226492,311592,"wide half-volley, Guptill plays a classy square-drive. In front of point, all along the ground. First boundary off the bat",1,2.4,2.04,2.4,4,4,20,224,6
226492,311592,"bouncer this time, and a pretty sharp one. Pitches middle and off, and angles away. Guptill sways out of its line",1,2.5,2.05,2.5,0,0,0,0,0
226492,311592,"on the pads this time, and he has helped it around the corner for one",1,2.6,2.06,2.6,1,1,306,112,2
226492,288284,"wide length ball, holds its line, left alone",1,3.1,3.01,3.1,0,0,0,0,0
226492,288284,"short of a length, wide, punched away, but can't pierce the gap at point. Smith and Warner nearly collide as both are eager to get to the ball. Warner fields this one",1,3.2,3.02,3.2,0,0,107,171,6
226492,288284,slight nip back in from a tight off-stump channel. Defended off the front foot,1,3.3,3.03,3.3,0,0,231,187,3
226492,288284,"good sharp bouncer, and he has top-edged it for a six. That points to the pace, all right, but also how much the ropes have pulled in. This is not a full-blooded hook. Guptill is cramped for room with this bouncer so he hardly can swing properly, but the top edge flies over Haddin's head for six #MCGsobig",1,3.4,3.04,3.4,6,6,196,4,1
226492,288284,shoulders arms to one outside off,1,3.5,3.05,3.5,0,0,0,0,0
226492,288284,"short of a length, on off, defended from the crease",1,3.6,3.06,3.6,0,0,128,191,6
277906,311592,half-forward to defend this length ball,1,4.1,4.01,4.1,0,0,135,219,5
277906,311592,"on a length, slight shape back in, but not too straight. Flicked towards mid-on",1,4.2,4.02,4.2,0,0,216,224,4
277906,311592,"tentative from Kool Kane. Short of a length, on off, angling away, he is late into trying to punch this. Beaten",1,4.3,4.03,4.3,0,0,0,0,0
277906,311592,"beats the bat again. Starc is on fire here. Short of a length again, on off, Williamson plays at it too, and is beaten by the angle",1,4.4,4.04,4.4,0,0,0,0,0
277906,311592,"digs this in short, stays on off with the natural angle. Williamson goes low and sways out of its line",1,4.5,4.05,4.5,0,0,0,0,0
277906,311592,"Williamson is so lucky here. Follows a wide length ball. Doesn't drive at it powerfully. Just a nothing tentative push. The ball, though, has flown off the thick edge, and over backward point. Third man comes around to field",1,4.6,4.06,4.6,1,1,55,86,7
277906,288284,"outswinger, on a length, outside off, left alone",1,5.1,5.01,5.1,0,0,0,0,0
277906,288284,"on a length, angling in, beats the inside edge, but is headed down leg",1,5.2,5.02,5.2,0,0,0,0,0
277906,288284,"on a length, opens the face late on it, gets a thick edge to third man for one",1,5.3,5.03,5.3,1,1,114,31,8
