batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
43906,288284,"full and nibbling away a touch outside off, Amla watches it through to Wade",1,0.1,0.01,0.1,0,0,0,0,0
43906,288284,"pitched further up and angled in, Amla blocks it to short extra cover. Solid",1,0.2,0.02,0.2,0,0,140,188,6
43906,288284,"full and outside off, left alone. The carry is far from encouraging",1,0.3,0.03,0.3,0,0,0,0,0
43906,288284,"shoots low, big appeal for lbw, umpire Wilson does not budge. Smith does not opt for a review. Full and moves in to catch the pad in front of the leg stump. It was probably grazing leg or going down with the angle. Umpire's call would have prevailed, I suppose",1,0.4,0.04,0.4,0,0,0,0,0
43906,288284,"fuller and outside off, neatly pushed to mid-off",1,0.5,0.05,0.5,0,0,155,247,5
43906,288284,"full and around off, does not come on to Amla. Wafty drive to mid-off.<strong> Hazlewood opens with a maiden</strong>",1,0.6,0.06,0.6,0,0,140,243,5
379143,261354,"length and outside off, pushed to mid-off",1,1.1,1.01,1.1,0,0,199,249,4
379143,261354,"full and angling outside off, Qdk pokes and manages an inside edge onto the pad",1,1.2,1.02,1.2,0,0,189,162,2
379143,261354,"a tad overpitched and outside off, Qdk steps forward and smoothly drives it past the bowler, beats mid-off to his left. Nice and crisp....",1,1.3,1.03,1.3,4,4,202,351,4
379143,261354,"back of a length, NCN drags his length back and gets it to slant away past the outside edge of the groping bat",1,1.4,1.04,1.4,0,0,0,0,0
379143,261354,"back of a length on off, dropped defensively to the right of short cover",1,1.5,1.05,1.5,0,0,217,196,3
379143,261354,"back of a length and around off, tapped through midwicket",1,1.6,1.06,1.6,2,2,71,238,6
43906,288284,"fuller and outside off, run down to third man",1,2.1,2.01,2.1,1,1,161,19,8
379143,288284,"fullish and angling away from Qdk, he shuffles across and works it defensively to the leg side",1,2.2,2.02,2.2,0,0,135,198,6
379143,288284,"fuller and outside off, clipped out to midwicket. Shuffles across and nurdles it",1,2.3,2.03,2.3,0,0,122,188,6
379143,288284,"pitched up and outside off, driven straight to mid-off",1,2.4,2.04,2.4,0,0,198,256,4
379143,288284,"full and angled in on off and middle, the left-hander covers up in defence",1,2.5,2.05,2.5,0,0,194,193,4
379143,288284,"dug in outside off, shovelled to the man at mid-on",1,2.6,2.06,2.6,0,0,142,228,5
43906,261354,"half-volley slipping down leg, Amla can't glance it away. Beaten",1,3.1,3.01,3.1,0,1,0,0,0
43906,261354,"shot! Short and width outside off, Amla waits, gets on top of the bounce, slapping it with the wrists to the left of diving backward point",1,3.1,3.02,3.1,4,4,52,55,7
43906,261354,"back of a length and angled in on off, Amla stands tall and punchily defends to short extra cover",1,3.2,3.03,3.2,0,0,139,231,5
43906,261354,"shorter and outside off, does not come onto the bat, Amla hangs back and rides it down to third man",1,3.3,3.04,3.3,1,1,133,24,8
379143,261354,"pitched up on the off stump, the left-hander shows the full face of the bat and push-drives it straight down the ground. Minimal followthrough",1,3.4,3.05,3.4,1,1,175,335,5
43906,261354,"full and aimed at off, Amla looks to drive and toe-ends it to mid-off",1,3.5,3.06,3.5,0,0,163,205,5
43906,261354,"overpitched on middle, serene drive to mid-on",1,3.6,3.07,3.6,0,0,205,254,4
379143,288284,"short and angled around off from round the stumps, open-faced glide to point",1,4.1,4.01,4.1,0,0,238,155,2
379143,288284,"full and angled in on the off stump, Qdk inches forward and blocks it to short extra cover",1,4.2,4.02,4.2,0,0,235,188,3
379143,288284,"back of a length and comes in on off, Qdk does not cover the movement, ends up poking it back to the bowler via an inside edge",1,4.3,4.03,4.3,0,0,204,184,3
379143,288284,"full and outside off, Qdk leans back and chops a single down to third man",1,4.4,4.04,4.4,1,1,288,71,2
43906,288284,"back of a length and around off, Amla plays it up to short extra cover",1,4.5,4.05,4.5,0,0,136,211,5
43906,288284,raps the pad outside the line of off. Amla walks across off aiming for a whip over midwicket and misses,1,4.6,4.06,4.6,0,1,135,141,7
43906,261354,"full and angling down leg, wide",1,5.1,5.01,5.1,0,1,0,0,0
43906,261354,"short and outside off, helped down to third man",1,5.1,5.02,5.1,1,1,149,27,8
