batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
5334,236779,"nice and full to start, not much swing. 134 kph. Finch leaves this be",1,0.1,0.01,0.1,0,0,0,0,0
5334,236779,"full again on off, Finch lunges forward to defend but gets a thick inside edge past square leg for a couple",1,0.2,0.02,0.2,2,2,314,153,2
5334,236779,"poor delivery. Short and wide, Finch laces a cut to point. Jadeja does well to get a hand on it.",1,0.3,0.03,0.3,0,0,120,190,6
5334,236779,"oh my. That is some intent. Very full on off, Finch lunges forward, gets to the pitch and neatly lofts the ball over mid-off for a boundary on the bounce. Seems Australia aren't too happy with 300",1,0.4,0.04,0.4,4,4,162,355,5
5334,236779,"better from Ishant. Drags his length back just enough, good length outside off and left alone",1,0.5,0.05,0.5,0,0,0,0,0
5334,236779,"given! What a delivery that is. Ducks back in prodigiously to hit Finch outside the line of off stump. But he wasn't offering a stroke. Umpire Kettleborough had no hesitation and raised his finger immediately but did that nip back in enough? Lots of swing for Ishant, the first time we have seen as much in this series.",1,0.6,0.06,0.6,0,0,0,0,0
219889,376116,"ooh, stops in the wicket this time. Good length outside off, Warner shaped to cut through covers but the ball is awkwardly mis-timed to mid-off for a couple",1,1.1,1.01,1.1,2,2,167,248,5
219889,376116,"length delivery on off, defended",1,1.2,1.02,1.2,0,0,183,197,4
219889,376116,defended off the back foot,1,1.3,1.03,1.3,0,0,150,178,6
219889,376116,"this one swerves away from Warner this time. Fullish length outside off, the ball deviates past the flashing wide bat of David Warner",1,1.4,1.04,1.4,0,0,0,0,0
219889,376116,this is in the slot for Warner. A tad overpitched and Warner drives delectably into the gap through cover for a boundary. Made it look easy. Got close enough to the pitch too,1,1.5,1.05,1.5,4,4,335,273,3
219889,376116,"back of a length on off, Warner goes back to defend",1,1.6,1.06,1.6,0,0,198,193,4
267192,236779,"back of a length outside off, 137 kph. Smith shuffles across to leave",1,2.1,2.01,2.1,0,0,0,0,0
267192,236779,"beautiful stride to the pitch and an elegant drive past cover to mid-off where Kohli does well, diving and stopping.",1,2.2,2.02,2.2,0,0,115,228,6
267192,236779,"ducks back in from outside off, similar to the Finch wicket but not as much. Smith lets it go",1,2.3,2.03,2.3,0,0,0,0,0
267192,236779,comes back in late yet again. Back of a length on middle and Smith tucks this fine to fine leg for a run,1,2.4,2.04,2.4,1,1,266,51,1
