batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
379143,311592,"whoa! Bounce, big bounce from over the wicket. 140ks. This boings off the surface outside off, and sails over Qdk to the keeper. Qdk did not even duck. He was standing upright in the crease. Wide called. Starc has a wry smile",1,0.1,0.01,0.1,0,1,0,0,0
379143,311592,"Starc overcorrects and concedes four! Half-volley outside off, Qdk strides forward and square-drives it wide of backward point. <em>Creamed it</em>",1,0.1,0.02,0.1,4,4,355,156,2
379143,311592,"back of a length and swerves in on middle, Qdk blocks it back to the bowler",1,0.2,0.03,0.2,0,0,194,199,4
379143,311592,"inswinger on a back of a length, Qdk looks to defend and drops an inside edge to the leg side",1,0.3,0.04,0.3,0,0,150,176,6
379143,311592,"banged in short and down leg, excellent carry to Wade again. Starc has got his lines wrong. 145ks, that",1,0.4,0.05,0.4,0,1,0,0,0
379143,311592,"inswinging yorker aiming for the base of leg stump, 143ks, top bowling. Jabs his bat down hurriedly and squeezes behind square leg",1,0.4,0.06,0.4,0,0,116,156,7
379143,311592,"inswinging full toss at the leg stump, marginally misses the yorker, clipped away to long leg",1,0.5,0.07,0.5,1,1,30,151,7
43906,311592,"full and speared far too wide outside off, Amla leaves it be",1,0.6,0.08,0.6,0,1,0,0,0
43906,311592,"back of a length and angled away, 146ks, much closer to the off stump. Amla covers it and leaves it be, again",1,0.6,0.09,0.6,0,0,0,0,0
