batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
629074,5961,"bangs a short ball outside off, climbs to the keeper. Mendis locked his eyes on it before dropping his gloves. Umpire Dar suggests one for the over",1,7.1,7.01,7.1,0,0,0,0,0
629074,5961,"that's <strong>simply regal</strong>! Pitched up on off stump, Mendis moves forward and loft-punches it over mid-on. Clean. One-bounce four",1,7.2,7.02,7.2,4,4,200,360,4
629074,5961,"Henriques pulls his length back and gives width, square-cut away behind point for one",1,7.3,7.03,7.3,1,1,101,101,7
48472,5961,"length ball angled in, flicked towards midwicket",1,7.4,7.04,7.4,1,1,237,185,3
629074,5961,"back of a length and outside off,  cut to deep backward point",1,7.5,7.05,7.5,1,1,35,138,7
48472,5961,"Henriques' line is wonky, with fine leg inside the circle. Picked off the thigh through backward square leg. Easily done",1,7.6,7.06,7.6,3,3,318,97,2
48472,270484,"looks like a full cutter on off stump, Dilshan pushes early as an inside edge rolls back to Faulkner",1,8.1,8.01,8.1,0,0,189,197,4
48472,270484,"very full and aiming for the middle stump, Dilshan's whip to mid-on intervenes",1,8.2,8.02,8.2,1,1,233,220,4
629074,270484,"<strong>Dropped by Finch, he has lost it under the sun</strong>. Joy for the Sri Lanka fans in the stands. It's a sell-out crowd, mind you. Full on middle and leg, 111ks slower one, Mendis goes low and picks it up in the air. The ball did not come on and the batsman couldn't keep the sweep down. Finch, with the sun squinting into eyes, can't hang onto the overhead catch. His head looks away, and in the turn, the eyes, as he parries the ball away to the square leg boundary. Finch wouldn't want to look at the replays",1,8.3,8.03,8.3,4,4,355,145,2
629074,270484,"full and outside off, slower ball at 111ks, pushed to extra cover",1,8.4,8.04,8.4,1,1,83,211,6
48472,270484,"low full toss, tapped away for one",1,8.5,8.05,8.5,1,1,147,227,5
629074,270484,turned to the leg side,1,8.6,8.06,8.6,0,0,222,186,3
48472,5961,flashed away to cover,1,9.1,9.01,9.1,0,0,140,196,6
48472,5961,"full on middle and leg, clipped through backward square leg. Dilshan, who is three months away from turning 40, comes back for the second",1,9.2,9.02,9.2,2,2,325,126,2
48472,5961,,1,9.3,9.03,9.3,0,0,186,192,4
48472,5961,"veering into the pads, diverted off the pads behind square on the leg side",1,9.4,9.04,9.4,1,1,259,139,2
629074,5961,"very full on off, crisply driven down to mid-on",1,9.5,9.05,9.5,0,0,224,214,4
629074,5961,"pitched up on the stumps, tip and run single to mid-on",1,9.6,9.06,9.6,1,1,229,221,4
629074,379504,"slides on short and wide outside off, goes back and cuts it to point, where Bailey makes a tumbling save",1,10.1,10.01,10.1,0,0,123,144,7
629074,379504,"looped up and comes in, googly? Mendis pokes an inside edge onto the pad",1,10.2,10.02,10.2,0,0,186,187,4
629074,379504,"Zampa goes short but does not give much width, chopped off the back foot to cover",1,10.3,10.03,10.3,0,0,118,183,6
629074,379504,"slower through the air on off, Mendis allows the ball to come to him and deflects it to short fine leg",1,10.4,10.04,10.4,1,1,235,141,2
48472,379504,"Zampa whirls down a slider now, Dilshan jabs and is beaten past the outside edge. Wade whips the bails off. TV umpire called in. Dilshan's back foot never left the ground. Easy call for umpire Gough",1,10.5,10.05,10.5,0,0,0,0,0
