batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
465793,311592,"pretty full and wide to start with outside off, he lets it go easily",1,0.1,0.01,0.1,0,0,0,0,0
465793,311592,"much closer to the batsman now and shorter, not too far outside off and he shoulders arms",1,0.2,0.02,0.2,0,0,0,0,0
465793,311592,"144kh, wide outside off again, de Silva swings outside off and finds cover. He didn't quite middle it",1,0.3,0.03,0.3,0,0,129,194,6
465793,311592,"on good length and still well outside off, angling away and de Silva leaves it alone",1,0.4,0.04,0.4,0,0,0,0,0
465793,311592,"there comes the yorker at 140kph just outside off, de Silva middles it back to the bowler with a straight bat",1,0.5,0.05,0.5,0,0,222,189,3
465793,311592,"that's a <strong>cracker</strong> to end the over! What a beauty! Room outside off and it was too full too, de Silva leaned into the ball and went down on a knee to drive that beautifully through the covers. All along the ground for four",1,0.6,0.06,0.6,4,4,44,296,6
345821,228622,"125kph, not fast at all outside off, he delivers a cutter and Gunathilaka waited before steering it towards point",1,1.1,1.01,1.1,0,0,0,0,0
345821,228622,"not quick again but a touch closer to the batsman, he angles the bat towards point again and connects",1,1.2,1.02,1.2,0,0,233,187,3
345821,228622,"angling it away from outside off again, he helps it sqaure of the wicket again",1,1.3,1.03,1.3,0,0,227,209,3
345821,228622,"130kph on length around the off stump, defends towards mid-off with a straight bat",1,1.4,1.04,1.4,0,0,222,184,3
345821,228622,"shorter this time outside off, he stays back and helps it square to point",1,1.5,1.05,1.5,0,0,232,170,3
345821,228622,"even shorter and closer to the batsman, no room at all and Gunathilaka defends it close to the body",1,1.6,1.06,1.6,0,0,226,190,3
465793,311592,"full again outside off, de Silva pushes it down to mid-off",1,2.1,2.01,2.1,0,0,191,202,4
465793,311592,"145kmh, bangs it shorter and takes it away with the angle, no swing and he lets it go",1,2.2,2.02,2.2,0,0,0,0,0
465793,311592,that's gone way too wide with the angle and it's a wide,1,2.3,2.03,2.3,0,1,0,0,0
465793,311592,"loud appeal from Starc as he hits the pad maybe a bit in front of leg stump but the ball surely pitched outside leg. Not out, easy decision",1,2.3,2.04,2.3,0,0,0,0,0
465793,311592,"139kph, beautifully bowled! Just short of length outisde off, no room and takes it away with the angle. De Silva pokes and misses",1,2.4,2.05,2.4,0,0,0,0,0
465793,311592,width on offer againa and de Silva connects nicely but finds cover point,1,2.5,2.06,2.5,0,0,125,199,6
465793,311592,solid defence outside the off stump as there's not much room,1,2.6,2.07,2.6,0,0,149,187,6
345821,228622,"taking the ball away outside off, he waits and helps it to third man",1,3.1,3.01,3.1,1,1,303,89,2
465793,228622,"not much pace, but not much room either outside off and de Silva defends the length ball back",1,3.2,3.02,3.2,0,0,204,193,4
465793,228622,"bangs it shorter and it's coming in, de Silva tucks it wide of midwicket for one",1,3.3,3.03,3.3,1,1,240,191,3
345821,228622,"what a shot, that's a <strong>staight six</strong>! It wasn't a half-volley, was on length just around off and Gunathilaka put his front foot forward with some confidence to loft that straight down the ground with a big swing for a clean six!",1,3.4,3.04,3.4,6,6,209,358,4
345821,228622,"slightly shorter and wider, he works it to point",1,3.5,3.05,3.5,0,0,213,164,2
345821,228622,"similar delivery outside off, he opens the face late to guide it to point",1,3.6,3.06,3.6,0,0,239,154,2
