batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
345821,311592,lovely shape to move the ball away from the LHB. Hits a good length with pace and good bounce too,1,0.1,0.01,0.1,0,0,0,0,0
345821,311592,"too full around off, he pushes it into the covers and then dives at the umpire's end to make it in time. Sharp throw but it missed and looks like he was in",1,0.2,0.02,0.2,1,1,218,200,3
48472,311592,"well outside off on length, Dilshan sees room and goes for the big swing but misses",1,0.3,0.03,0.3,0,0,0,0,0
48472,311592,147kph! Right on the off stump and moves away a bit to beat Dilshan's outside edge. Some noise from the bat hitting the ground which made Wade appeal,1,0.4,0.04,0.4,0,0,0,0,0
48472,311592,gets bat this time - slightly wider outside off on length with the angle and Dilshan defends into the covers,1,0.5,0.05,0.5,0,0,150,180,6
48472,311592,"a firm drives back to the bowler this time. Bit too full and straight, Dilshan shows the full face of the bat and Starc gets a hand to it",1,0.6,0.06,0.6,0,0,183,203,4
345821,272279,"starts on the leg stump with some turn, Gunathilaka defends it back",1,1.1,1.01,1.1,0,0,0,0,0
345821,272279,"stumping appeal from Wade as Gunathilaka is beaten by turn outside off, third umpire at work now and easy decision - not out. It was nicely bowled outside off on length and the turn did the rest",1,1.2,1.02,1.2,0,0,0,0,0
345821,272279,"hits the good length again outside off, he plays on the up and gets the ball to point after a bounce",1,1.3,1.03,1.3,0,0,246,150,2
345821,272279,"much fuller around the off stump, driven nicely but almost straight to cover",1,1.4,1.04,1.4,0,0,235,183,3
345821,272279,"straighter on middle stump, worked to the leg side now for one",1,1.5,1.05,1.5,1,1,115,204,6
48472,272279,lunges forward towards the ball outside off and defends with soft hands for one,1,1.6,1.06,1.6,1,1,128,178,6
48472,311592,"good pace and on length just outside off with the angle, Dilshan drives with hard hands but misses again. Starc frowns and shakes his head",1,2.1,2.01,2.1,0,0,0,0,0
48472,311592,"swing and a miss again - a touch fuller outside off on similar length, Dilshan chases and misses again",1,2.2,2.02,2.2,0,0,0,0,0
48472,311592,"short ball now and he pulls it away for four! Not sure why Starc banged it in short, Dilshan pounced on it and sent it to the midwicket boundary",1,2.3,2.03,2.3,4,4,346,236,3
48472,311592,"that's what confidence can do to you - it's outside off now, enough room and Dilshan opens his arms to drive it hard and wide of point for a four along the ground",1,2.4,2.04,2.4,4,4,13,141,7
48472,311592,"that's the yorker from Starc, right on middle stump! Dilshan goes deep in the crease and digs it out to the off side for a quick single",1,2.5,2.05,2.5,1,1,139,190,6
345821,311592,"bowled'im, through the gate! That one pitched on length outside off, and it was the cutter from Starc, it came in after pitching and Gunathilaka's gap between bat and pad was too wide for the ball to sneak through",1,2.6,2.06,2.6,0,0,0,0,0
48472,272279,"bowled'im around the legs, is he? They are checking with the replays and it shows the ball touched the pad before clipping the leg stump. Lyon around the wicket, pitches it around middle and leg and gets it to turn a bit, Dilshan wanted to work it away gently with the turn but inadvertently exposed his leg stump and the ball got deflected off the thigh pad and onto the stump. ""See you, pal,"" said one of the Australians while crossing Dilshan to congratulate Lyon",1,3.1,3.01,3.1,0,0,0,0,0
300628,272279,"nicely tossed up around off, steered to the leg side with the turn",1,3.2,3.02,3.2,0,0,210,185,3
300628,272279,a bit on the front foot and Chandimal defends it back,1,3.3,3.03,3.3,0,0,200,183,3
300628,272279,"shorter and flatter around leg, loud appeal from Lyon as Chandimal went back and was hit on the pads, not out",1,3.4,3.04,3.4,0,0,0,0,0
300628,272279,"more towards the off stump now, worked to the leg side again",1,3.5,3.05,3.5,0,0,216,172,3
300628,272279,almost like the ball that got Dilshan but this one goes further down leg for a wide,1,3.6,3.06,3.6,0,1,0,0,0
300628,272279,"outside off now, on length and with some turn, Chandimal leans forward a bit and is beaten. Takes the ball on the body",1,3.6,3.07,3.6,0,0,0,0,0
629074,311592,"quick and full outside off, pushed down the ground to mid-off",1,4.1,4.01,4.1,0,0,155,178,6
629074,311592,"just short of good length outisde off, uses the angle to move it away from the batsman, left alone",1,4.2,4.02,4.2,0,0,0,0,0
629074,311592,"touch wider outside off again on similar length, left for the keeper again",1,4.3,4.03,4.3,0,0,0,0,0
629074,311592,"on the pads and clipped away through the air for four! Wasn't completely full but it was on the leg stump and Mendis flicked it away with the wrists, checking his shot in the end a bit, and it sailed wide and over midwicket",1,4.4,4.04,4.4,4,4,344,257,3
629074,311592,"back to the outside off stump line, Mendis doesn't move his feet much but defends on the off side",1,4.5,4.05,4.5,0,0,162,177,6
629074,311592,"much shorter and outside off, Mendis goes on his toes on the back foot and tries to beat point but a dive saves a few runs for Australia",1,4.6,4.06,4.6,0,0,119,154,7
300628,272279,"on leg stump, Chandimal goes across a long way to expose his leg stump but middles the sweep veyr well to dispatch it for four behind square",1,5.1,5.01,5.1,4,4,282,31,1
300628,272279,"quicker and outside off, he goes back to block it",1,5.2,5.02,5.2,0,0,170,185,5
300628,272279,comes down the ground now and drives it on the on side,1,5.3,5.03,5.3,0,0,249,189,3
300628,272279,waits for the ball to turn towards him and works it to leg for one,1,5.4,5.04,5.4,1,1,242,196,3
629074,272279,"bit of extra bounce with the turn, he goes back and defends it to leg",1,5.5,5.05,5.5,0,0,236,149,2
629074,272279,"presses forward towards the pitch of the ball outside off and blocks it back, not letting it turn",1,5.6,5.06,5.6,0,0,159,189,5
300628,311592,"141kph, bangs in the bouncer that Chandimal ducks under just in time. The crowd likes it and makes some noise",1,6.1,6.01,6.1,0,0,0,0,0
300628,311592,"beautifully bowled outside off, hardly any room but the ball moves away just a touch, not allowing Chandimal to connect as he tried to poke without footwork",1,6.2,6.02,6.2,0,0,0,0,0
300628,311592,"a confident appeal for caught behind form Australia, they think Chandimal has edged it but the umpire says no. It was pretty full outside off, Chandimal drove away from the body and replays show that was a good decision - ball missed the bat and the sound was of bat hitting the ground",1,6.3,6.03,6.3,0,0,0,0,0
300628,311592,"much closer to the batsman now, still outisde off, he defends it to the leg side off the back foot",1,6.4,6.04,6.4,0,0,218,184,3
300628,311592,"another bouncer - just towards the leg side but not enough for a wide. It was quick and short, Chandimal ducked again and Starc is enjoying that. He sticks his tongue out while staring at Chandimal",1,6.5,6.05,6.5,0,0,0,0,0
300628,311592,"full delivery to end the over, nicely driven with a forward lean through the covers and they get two. Starc collected the ball and then threw it to the keeper but hit Chandimal instead. The batsman didn't like and the umpire had a word with Starc",1,6.6,6.06,6.6,2,2,19,183,6
629074,272279,a wide to start the over down the leg side,1,7.1,7.01,7.1,0,1,0,0,0
629074,272279,little shorter towards leg and it's swatted for one,1,7.1,7.02,7.1,1,1,317,124,2
300628,272279,"too fine down the leg side just past the batsman and the keeper, the turn helped the batsman as he looked to nudge it fine and he gets four leg byes",1,7.2,7.03,7.2,0,4,228,11,1
300628,272279,"better delivery outisde off, he defends it back",1,7.3,7.04,7.3,0,0,174,184,5
300628,272279,"closer to the batsman around off with some turn, worked to leg with the turn",1,7.4,7.05,7.4,0,0,221,183,3
300628,272279,"comes down the track to reach the pitch of the ball and tonks it over the wide long-on boundary for a clean six! Good, confident strike",1,7.5,7.06,7.5,6,6,302,337,4
300628,272279,"flatter one on the off stump, Chandimal goes back and defends on the leg side",1,7.6,7.07,7.6,0,0,225,195,3
629074,270484,"short of a length angling across the right-hander, Mendis gets on tippy toe and cuts, the fielder at point dives to his right to cut off the shot",1,8.1,8.01,8.1,0,0,116,155,7
629074,270484,"short of a length and at the body, Mendis stands tall, relatively speaking, and defends towards the bowler",1,8.2,8.02,8.2,0,0,207,200,4
629074,270484,nudged off the hips on the leg side,1,8.3,8.03,8.3,1,1,239,204,3
300628,270484,"good length on middle and off stump, Chandimal plays the ball with soft hands towards point and calls Mendis through",1,8.4,8.04,8.4,1,1,125,217,6
629074,270484,"cut in the air but behind the man at point, there's protection at third man",1,8.5,8.05,8.5,1,1,57,105,7
300628,270484,"pushed back to the bowler, Faulkner scampers to his left to field in his follow through and pretend-throws, the batsman hurries back into his crease",1,8.6,8.06,8.6,0,0,184,206,4
629074,530011,"Mendis greets him with a slog down on one knee, not sure he intended it to go between the bowler and mid-on but he made enough contact to score a boundary",1,9.1,9.01,9.1,4,4,224,359,4
629074,530011,"shot! Steps out of his crease to a ball pitching outside off and spinning into the right hander, and drives so fluently, right off the middle of the bat and mid off has no chance, all along the ground too",1,9.2,9.02,9.2,4,4,131,349,5
629074,530011,"tries to pull a flatter ball but makes no contact, that was down leg side",1,9.3,9.03,9.3,0,1,0,0,0
629074,530011,"lovely shot! Steps out again and hits so cleanly through the line, lofting it straight back over the bowler's head",1,9.3,9.04,9.3,4,4,162,357,5
629074,530011,"flatter and quicker ball from over the wicket, Mendis pulls but doesn't beat the infield",1,9.4,9.05,9.4,0,0,244,183,3
629074,530011,short ball and it's been pulled for the fourth boundary in the over! Head gave Mendis a long hop and the batsman went back so quickly and placed the ball in front of the fielder on the square leg boundary,1,9.5,9.06,9.5,4,4,356,187,3
629074,530011,"Zampa prevents the fifth boundary in the over. Mendis had stepped out and lofted over mid off again, Zampa gave chase and pulled the ball back in just before he tumbled over the rope",1,9.6,9.07,9.6,3,3,125,332,5
629074,270484,"short of a length pitching outside leg and angling into the hips, turned behind square for a single",1,10.1,10.01,10.1,1,1,301,120,2
300628,270484,"good length on middle and off stump, Chandimal stays in his crease and pushes towards point",1,10.2,10.02,10.2,0,0,136,140,7
300628,270484,"short of a length and much slower, the batsman tries to glance towards square leg but is beaten by the change of pace",1,10.3,10.03,10.3,0,1,146,184,6
629074,270484,"a fuller and straight ball, driven back to the bowler, Faulkner fields in his follow through",1,10.4,10.04,10.4,0,0,187,198,4
629074,270484,"full length on the pads, flicked through midwicket and the half-century stand comes up off 49 balls",1,10.5,10.05,10.5,1,1,235,197,3
300628,270484,"good length around off, the line angles across the right-hander from over the wicket, Chandimall presses forward and plays the ball into the covers",1,10.6,10.06,10.6,0,0,138,196,6
629074,379504,"dropped short close to off stump, not much turn, Mendis is back in a flash and his cut beats the diving fielder at point to his right. Head makes a great diving save on the boundary",1,11.1,11.01,11.1,2,2,35,102,7
629074,379504,"bowled fuller and slower through the air, Mendis leans forward and defends",1,11.2,11.02,11.2,0,0,142,185,6
629074,379504,"tossed up outside off stump, his length draws Mendis forward while defending on the off side",1,11.3,11.03,11.3,1,1,117,159,7
300628,379504,"bowled flatter and quicker on off and middle stump, Chandimal plays the back-foot punch into the covers",1,11.4,11.04,11.4,0,0,140,188,6
300628,379504,"tossed up much fuller around off, driven hard into the ground and towards long off",1,11.5,11.05,11.5,1,1,143,318,5
629074,379504,"punched off the front foot towards long off again, Mendis had to reach a bit in front of his body to play that shot",1,11.6,11.06,11.6,1,1,90,269,5
629074,270484,"short of a length outside leg stump, not advisable with fine leg in the circle, Mendis swivels and swats and collects a boundary towards fine leg",1,12.1,12.01,12.1,4,4,286,36,1
629074,270484,played from the crease towards cover point,1,12.2,12.02,12.2,0,0,157,186,6
629074,270484,driven along the ground to long on for another single,1,12.3,12.03,12.3,1,1,234,294,4
300628,270484,defended from the crease towards point,1,12.4,12.04,12.4,0,0,145,160,7
300628,270484,"pitches around off and pings away from the right-hander, Chandimal reaches for it with a tentative prod, trying to guide to third man, but he makes no contact",1,12.5,12.05,12.5,0,0,0,0,0
300628,270484,pushed through cover point for a single to ensure six runs come off the over,1,12.6,12.06,12.6,1,1,49,196,6
