batid,bowlid,comm,inns,oa,ou,ovr,r,rt,x,y,z
226492,288284,"that ball swung, Hazlewood delivered on a full length outside off from over the wicket, Guptill drove a little away from his body and got an inside edge on to the pad",1,0.1,0.01,0.1,0,0,160,175,6
226492,288284,"good length pitching outside off and swinging away from Guptill, who wafts from his crease and misses",1,0.2,0.02,0.2,0,0,0,0,0
226492,288284,"short of a length on the hips, nudged off the back foot behind square for a single",1,0.3,0.03,0.3,1,1,320,127,2
37737,288284,"good length outside off with some seam and bounce, McCullum stays back and plays the ball to point",1,0.4,0.04,0.4,0,0,112,190,6
37737,288284,"stays in his crease at a full ball angling into the right-hander, moved outside leg a little too, gets an inside edge on to the pad",1,0.5,0.05,0.5,0,0,146,148,7
37737,288284,"a full ball on middle stump, looking for swing, the first four balls moved, the last two did not. McCullum plays it towards mid off",1,0.6,0.06,0.6,0,0,154,241,5
226492,228622,angles a length ball into the pads and Guptill turns it through square leg for a single,1,1.1,1.01,1.1,1,1,245,174,3
37737,228622,"a full ball swings into the right-hander quite a bit, and swings right onto the middle of McCullum's bat, he pressed forward and lofted that over the bowler's head with a straight bat",1,1.2,1.02,1.2,4,4,145,356,5
37737,228622,"there's the charge and slog, McCullum steps out of his crease and swings across the line, dragging the ball along the ground through midwicket",1,1.3,1.03,1.3,4,4,338,262,3
37737,228622,"another full ball outside off stump, McCullum stays in his crease and tries to blast through the off side but mis-times the drive",1,1.4,1.04,1.4,0,0,112,212,6
37737,228622,hits the ball firmly but can't beat the fielder at point,1,1.5,1.05,1.5,0,0,105,168,6
37737,228622,"a low full toss, Hastings is looking for swing but over-pitches, McCullum stays balanced on the front foot as he cover drives along the ground with perfect control",1,1.6,1.06,1.6,4,4,14,226,6
226492,288284,defended off the back foot towards point,1,2.1,2.01,2.1,0,0,125,151,7
226492,288284,"a fuller ball on middle and leg, Guptill stays in his crease and pushes the ball towards mid-on",1,2.2,2.02,2.2,1,1,225,233,4
37737,288284,"good length on off and middle, angling into the right-hander, McCullum stays back and defends with a straight bat to the bowler",1,2.3,2.03,2.3,0,0,179,187,5
